emergency_id,baseline_route_distance,baseline_route_eta,uk_route_distance,uk_route_eta,traffic_conditions,selected_route
REQ00158,1.9,6,1.9,6,NORMAL,ROUTE-PRIMARY
REQ00159,1.1,2,1.1,2,NORMAL,ROUTE-PRIMARY
REQ00160,1.4,3,1.4,3,NORMAL,ROUTE-PRIMARY
REQ00161,2.7,6,2.7,6,MODERATE,ROUTE-PRIMARY
REQ00162,1.4,4,1.4,4,NORMAL,ROUTE-PRIMARY
REQ00163,6.5,10,6.5,10,HEAVY,ROUTE-PRIMARY
REQ00164,1.2,4,1.2,4,NORMAL,ROUTE-PRIMARY
REQ00165,2.1,6,2.1,5,MODERATE,ROUTE-PRIMARY
REQ00166,1.8,7,1.8,7,HEAVY,ROUTE-PRIMARY
REQ00167,18.6,35,18.6,35,NORMAL,ROUTE-PRIMARY
REQ00168,2.6,7,2.6,7,MODERATE,ROUTE-PRIMARY
REQ00169,0.9,2,0.9,2,HEAVY,ROUTE-PRIMARY
REQ00170,2.8,8,2.8,8,MODERATE,ROUTE-PRIMARY
REQ00171,3.3,12,3.3,12,NORMAL,ROUTE-PRIMARY
REQ00172,3,10,3,10,HEAVY,ROUTE-PRIMARY
REQ00173,2.3,8,2.3,8,MODERATE,ROUTE-PRIMARY
REQ00174,1,4,1,4,NORMAL,ROUTE-PRIMARY
REQ00175,2.5,9,2.5,9,NORMAL,ROUTE-PRIMARY
REQ00176,2.8,8,2.8,8,NORMAL,ROUTE-PRIMARY
REQ00177,0.8,3,0.8,3,MODERATE,ROUTE-PRIMARY
REQ00178,0.6,2,0.6,2,NORMAL,ROUTE-PRIMARY
REQ00179,2.1,6,2.1,6,MODERATE,ROUTE-PRIMARY
REQ00180,1.1,4,1.1,4,NORMAL,ROUTE-PRIMARY
REQ00181,2,5,2,5,NORMAL,ROUTE-PRIMARY
REQ00182,1.9,5,1.9,5,NORMAL,ROUTE-PRIMARY
REQ00183,2.6,9,2.6,9,NORMAL,ROUTE-PRIMARY
REQ00184,2,5,2,5,NORMAL,ROUTE-PRIMARY
REQ00185,2.7,10,2.7,9,MODERATE,ROUTE-PRIMARY
REQ00186,1.9,6,1.9,6,NORMAL,ROUTE-PRIMARY
REQ00187,1,3,1,3,NORMAL,ROUTE-PRIMARY
REQ00188,1.6,6,1.6,6,NORMAL,ROUTE-PRIMARY
REQ00189,2.9,6,2.9,6,MODERATE,ROUTE-PRIMARY
REQ00190,1.9,5,1.9,5,HEAVY,ROUTE-PRIMARY
REQ00191,1.6,4,1.6,4,NORMAL,ROUTE-PRIMARY
REQ00192,0.3,2,0.3,1,NORMAL,ROUTE-PRIMARY
REQ00193,2.1,8,2.1,8,HEAVY,ROUTE-PRIMARY
REQ00194,1.2,3,1.2,3,NORMAL,ROUTE-PRIMARY
REQ00195,4.3,12,4.3,12,MODERATE,ROUTE-PRIMARY
REQ00196,2.3,6,2.3,6,HEAVY,ROUTE-PRIMARY
REQ00197,2.5,6,2.5,6,NORMAL,ROUTE-PRIMARY
REQ00198,1.8,4,1.8,4,NORMAL,ROUTE-PRIMARY
REQ00199,1,4,1,3,NORMAL,ROUTE-PRIMARY
REQ00200,1.8,4,1.8,4,NORMAL,ROUTE-PRIMARY
REQ00201,1.6,5,1.6,5,NORMAL,ROUTE-PRIMARY
REQ00202,0.2,2,0.2,1,NORMAL,ROUTE-PRIMARY
REQ00203,1.3,3,1.3,3,NORMAL,ROUTE-PRIMARY
REQ00204,1.1,3,1.1,3,NORMAL,ROUTE-PRIMARY
REQ00205,2.7,8,2.7,8,HEAVY,ROUTE-PRIMARY
REQ00206,2.4,6,2.4,6,MODERATE,ROUTE-PRIMARY
REQ00207,2.6,10,2.6,10,NORMAL,ROUTE-PRIMARY
REQ00208,2.6,8,2.6,8,HEAVY,ROUTE-PRIMARY
REQ00209,3.2,8,3.2,8,MODERATE,ROUTE-PRIMARY
REQ00210,1.6,4,1.6,4,MODERATE,ROUTE-PRIMARY
REQ00211,2,5,2,5,NORMAL,ROUTE-PRIMARY
REQ00212,0.5,2,0.5,1,NORMAL,ROUTE-PRIMARY
REQ00213,1.5,4,1.5,4,MODERATE,ROUTE-PRIMARY
REQ00214,3.5,12,3.5,11,NORMAL,ROUTE-PRIMARY
REQ00215,2.4,8,2.4,8,NORMAL,ROUTE-PRIMARY
REQ00216,1.1,4,1.1,4,NORMAL,ROUTE-PRIMARY
REQ00217,2.2,7,2.2,7,HEAVY,ROUTE-PRIMARY
REQ00218,1.7,5,1.7,5,MODERATE,ROUTE-PRIMARY
REQ00219,2.8,6,2.8,6,MODERATE,ROUTE-PRIMARY
REQ00220,0.4,2,0.4,1,NORMAL,ROUTE-PRIMARY
REQ00221,2.8,8,2.8,8,NORMAL,ROUTE-PRIMARY
REQ00222,0.9,4,0.9,4,NORMAL,ROUTE-PRIMARY
REQ00223,2.6,7,2.6,7,NORMAL,ROUTE-PRIMARY
REQ00224,1.7,5,1.7,5,NORMAL,ROUTE-PRIMARY
REQ00225,1.1,3,1.1,3,MODERATE,ROUTE-PRIMARY
REQ00226,0.5,2,0.5,2,NORMAL,ROUTE-PRIMARY
REQ00227,1.6,5,1.6,5,NORMAL,ROUTE-PRIMARY
REQ00228,1.8,7,1.8,7,NORMAL,ROUTE-PRIMARY
REQ00229,0.6,2,0.6,2,HEAVY,ROUTE-PRIMARY
REQ00230,1.4,4,1.4,4,NORMAL,ROUTE-PRIMARY
REQ00231,3.6,11,3.6,10,NORMAL,ROUTE-PRIMARY
REQ00232,1.7,5,1.7,5,HEAVY,ROUTE-PRIMARY
REQ00233,1.9,7,1.9,7,NORMAL,ROUTE-PRIMARY
REQ00234,1.1,2,1.1,2,NORMAL,ROUTE-PRIMARY
REQ00235,2.2,6,2.2,6,HEAVY,ROUTE-PRIMARY
REQ00236,2,8,2,8,NORMAL,ROUTE-PRIMARY
REQ00237,1.6,5,1.6,5,MODERATE,ROUTE-PRIMARY
REQ00238,0.5,2,0.5,2,NORMAL,ROUTE-PRIMARY
REQ00239,2.8,9,2.8,9,MODERATE,ROUTE-PRIMARY
REQ00240,1.1,4,1.1,3,NORMAL,ROUTE-PRIMARY
REQ00241,2.9,10,2.9,10,MODERATE,ROUTE-PRIMARY
REQ00242,3.3,9,3.3,9,NORMAL,ROUTE-PRIMARY
REQ00243,1.7,4,1.7,4,NORMAL,ROUTE-PRIMARY
REQ00244,1,4,1,4,NORMAL,ROUTE-PRIMARY
REQ00245,0.6,2,0.6,2,NORMAL,ROUTE-PRIMARY
REQ00246,1.2,4,1.2,4,NORMAL,ROUTE-PRIMARY
REQ00247,2,6,2,6,HEAVY,ROUTE-PRIMARY
REQ00248,3.5,10,3.5,10,NORMAL,ROUTE-PRIMARY
REQ00249,1.9,5,1.9,5,MODERATE,ROUTE-PRIMARY
REQ00250,2.1,5,2.1,5,NORMAL,ROUTE-PRIMARY
REQ00251,1,3,1,3,NORMAL,ROUTE-PRIMARY
REQ00252,2.3,8,2.3,7,NORMAL,ROUTE-PRIMARY
REQ00253,5.1,14,5.1,13,HEAVY,ROUTE-PRIMARY
REQ00254,0.6,2,0.6,2,NORMAL,ROUTE-PRIMARY
REQ00255,2,5,2,5,NORMAL,ROUTE-PRIMARY
REQ00256,0.8,2,0.8,2,HEAVY,ROUTE-PRIMARY
REQ00257,2.7,7,2.7,7,MODERATE,ROUTE-PRIMARY
REQ00258,0.9,3,0.9,3,MODERATE,ROUTE-PRIMARY
REQ00259,0.8,3,0.8,3,HEAVY,ROUTE-PRIMARY
REQ00260,1.3,4,1.3,4,MODERATE,ROUTE-PRIMARY
REQ00261,2.8,8,2.8,8,NORMAL,ROUTE-PRIMARY
REQ00262,0.9,3,0.9,3,NORMAL,ROUTE-PRIMARY
REQ00263,2.1,6,2.1,6,NORMAL,ROUTE-PRIMARY
REQ00264,2.6,8,2.6,8,NORMAL,ROUTE-PRIMARY
REQ00265,1.7,5,1.7,5,NORMAL,ROUTE-PRIMARY
REQ00266,0.4,2,0.4,1,NORMAL,ROUTE-PRIMARY
REQ00267,0.9,4,0.9,3,MODERATE,ROUTE-PRIMARY
REQ00268,2.4,6,2.4,6,NORMAL,ROUTE-PRIMARY
REQ00269,1.1,3,1.1,3,MODERATE,ROUTE-PRIMARY
REQ00270,2.2,8,2.2,8,NORMAL,ROUTE-PRIMARY
REQ00271,3.6,9,3.6,9,NORMAL,ROUTE-PRIMARY
REQ00272,0.9,3,0.9,3,NORMAL,ROUTE-PRIMARY
REQ00273,2.1,6,2.1,6,MODERATE,ROUTE-PRIMARY
REQ00274,2.7,8,2.7,7,NORMAL,ROUTE-PRIMARY
REQ00275,2.7,8,2.7,8,NORMAL,ROUTE-PRIMARY
REQ00276,0.6,2,0.6,2,NORMAL,ROUTE-PRIMARY
REQ00277,1.3,4,1.3,3,MODERATE,ROUTE-PRIMARY
REQ00278,0.8,2,0.8,2,NORMAL,ROUTE-PRIMARY
REQ00279,1.2,4,1.2,4,NORMAL,ROUTE-PRIMARY
REQ00280,2.2,8,2.2,8,NORMAL,ROUTE-PRIMARY
REQ00281,3.4,10,3.4,10,MODERATE,ROUTE-PRIMARY
REQ00282,0.8,3,0.8,3,MODERATE,ROUTE-PRIMARY
REQ00283,4.1,14,4.1,14,HEAVY,ROUTE-PRIMARY
REQ00284,0.2,2,0.2,1,MODERATE,ROUTE-PRIMARY
REQ00285,2.1,7,2.1,6,MODERATE,ROUTE-PRIMARY
REQ00286,5.6,8,5.6,8,NORMAL,ROUTE-PRIMARY
REQ00287,0.5,2,0.5,2,NORMAL,ROUTE-PRIMARY
REQ00288,0.4,2,0.4,1,NORMAL,ROUTE-PRIMARY
REQ00289,2.4,9,2.4,8,NORMAL,ROUTE-PRIMARY
REQ00290,2,4,2,4,NORMAL,ROUTE-PRIMARY
REQ00291,1.8,5,1.8,5,NORMAL,ROUTE-PRIMARY
REQ00292,2.7,9,2.7,9,NORMAL,ROUTE-PRIMARY
REQ00293,0.6,2,0.6,2,NORMAL,ROUTE-PRIMARY
REQ00294,1,3,1,3,NORMAL,ROUTE-PRIMARY
REQ00295,2.7,9,2.7,9,HEAVY,ROUTE-PRIMARY
REQ00296,1.8,6,1.8,6,NORMAL,ROUTE-PRIMARY
REQ00297,1.4,5,1.4,5,MODERATE,ROUTE-PRIMARY
REQ00298,2.4,9,2.4,9,NORMAL,ROUTE-PRIMARY
REQ00299,2.5,7,2.5,7,NORMAL,ROUTE-PRIMARY
REQ00300,2.3,5,2.3,5,NORMAL,ROUTE-PRIMARY
REQ00301,0.8,3,0.8,3,NORMAL,ROUTE-PRIMARY
REQ00302,2.9,6,2.9,6,MODERATE,ROUTE-PRIMARY
REQ00303,2,7,2,7,NORMAL,ROUTE-PRIMARY
REQ00304,1.8,7,1.8,7,NORMAL,ROUTE-PRIMARY
REQ00305,0.6,2,0.6,2,MODERATE,ROUTE-PRIMARY
REQ00306,3,10,3,10,NORMAL,ROUTE-PRIMARY
REQ00307,2.5,9,2.5,8,NORMAL,ROUTE-PRIMARY
REQ00308,0.4,2,0.4,2,MODERATE,ROUTE-PRIMARY
REQ00309,1.4,5,1.4,5,NORMAL,ROUTE-PRIMARY
REQ00310,1.4,4,1.4,4,NORMAL,ROUTE-PRIMARY
REQ00311,3.4,9,3.4,9,NORMAL,ROUTE-PRIMARY
REQ00312,1.7,6,1.7,6,NORMAL,ROUTE-PRIMARY
REQ00313,5.4,16,5.4,16,HEAVY,ROUTE-PRIMARY
REQ00314,0.3,2,0.3,1,NORMAL,ROUTE-PRIMARY
REQ00315,2.7,6,2.7,6,MODERATE,ROUTE-PRIMARY
REQ00316,3.8,9,3.8,9,HEAVY,ROUTE-PRIMARY
REQ00317,2.7,8,2.7,8,NORMAL,ROUTE-PRIMARY
REQ00318,0.4,2,0.4,2,NORMAL,ROUTE-PRIMARY
REQ00319,1.8,4,1.8,4,NORMAL,ROUTE-PRIMARY
REQ00320,1.3,4,1.3,4,NORMAL,ROUTE-PRIMARY
REQ00321,1.6,4,1.6,4,NORMAL,ROUTE-PRIMARY
REQ00322,1.5,5,1.5,5,NORMAL,ROUTE-PRIMARY
REQ00323,2.3,6,2.3,6,MODERATE,ROUTE-PRIMARY
REQ00324,0.5,2,0.5,2,NORMAL,ROUTE-PRIMARY
REQ00325,2.9,10,2.9,10,HEAVY,ROUTE-PRIMARY
REQ00326,2,6,2,6,NORMAL,ROUTE-PRIMARY
REQ00327,3.4,9,3.4,9,NORMAL,ROUTE-PRIMARY
REQ00328,2.4,6,2.4,6,NORMAL,ROUTE-PRIMARY
REQ00329,6.4,12,6.4,12,NORMAL,ROUTE-PRIMARY
REQ00330,3.7,9,3.7,9,MODERATE,ROUTE-PRIMARY
REQ00331,3,9,3,9,NORMAL,ROUTE-PRIMARY
REQ00332,2.4,9,2.4,9,NORMAL,ROUTE-PRIMARY
REQ00333,1.4,5,1.4,5,NORMAL,ROUTE-PRIMARY
REQ00334,1,2,1,2,HEAVY,ROUTE-PRIMARY
REQ00335,2.2,7,2.2,6,MODERATE,ROUTE-PRIMARY
REQ00336,2.2,7,2.2,7,MODERATE,ROUTE-PRIMARY
REQ00337,1,3,1,3,HEAVY,ROUTE-PRIMARY
REQ00338,0.8,2,0.8,2,NORMAL,ROUTE-PRIMARY
REQ00339,1.4,5,1.4,5,NORMAL,ROUTE-PRIMARY
REQ00340,3.1,9,3.1,8,HEAVY,ROUTE-PRIMARY
REQ00341,2,6,2,6,MODERATE,ROUTE-PRIMARY
REQ00342,2.4,9,2.4,9,NORMAL,ROUTE-PRIMARY
REQ00343,0.9,2,0.9,2,NORMAL,ROUTE-PRIMARY
REQ00344,1.6,4,1.6,4,MODERATE,ROUTE-PRIMARY
REQ00345,5.5,15,5.5,15,MODERATE,ROUTE-PRIMARY
REQ00346,1.7,7,1.7,7,NORMAL,ROUTE-PRIMARY
REQ00347,0.3,2,0.3,1,NORMAL,ROUTE-PRIMARY
REQ00348,0.7,3,0.7,2,NORMAL,ROUTE-PRIMARY
REQ00349,1.3,4,1.3,4,MODERATE,ROUTE-PRIMARY
REQ00350,0.6,2,0.6,1,MODERATE,ROUTE-PRIMARY
REQ00351,1.1,4,1.1,4,MODERATE,ROUTE-PRIMARY
REQ00352,2.6,8,2.6,8,NORMAL,ROUTE-PRIMARY
REQ00353,2,4,2,4,MODERATE,ROUTE-PRIMARY
REQ00354,1.6,4,1.6,4,NORMAL,ROUTE-PRIMARY
REQ00355,5.8,14,5.8,14,NORMAL,ROUTE-PRIMARY
REQ00356,2.4,7,2.4,7,NORMAL,ROUTE-PRIMARY
REQ00357,1.7,6,1.7,6,NORMAL,ROUTE-PRIMARY
REQ00358,1.6,6,1.6,6,HEAVY,ROUTE-PRIMARY
REQ00359,4.1,10,4.1,10,MODERATE,ROUTE-PRIMARY
REQ00360,1,3,1,3,NORMAL,ROUTE-PRIMARY
REQ00361,0.7,2,0.7,2,HEAVY,ROUTE-PRIMARY
REQ00362,2,3,2,3,NORMAL,ROUTE-PRIMARY
REQ00363,1.3,3,1.3,3,NORMAL,ROUTE-PRIMARY
REQ00364,0.6,2,0.6,2,HEAVY,ROUTE-PRIMARY
REQ00365,3.7,13,3.7,12,NORMAL,ROUTE-PRIMARY
REQ00366,1,4,1,4,NORMAL,ROUTE-PRIMARY
REQ00367,0.7,2,0.7,2,HEAVY,ROUTE-PRIMARY
REQ00368,2.5,7,2.5,7,NORMAL,ROUTE-PRIMARY
REQ00369,4.3,11,4.3,11,NORMAL,ROUTE-PRIMARY
REQ00370,0.9,3,0.9,3,NORMAL,ROUTE-PRIMARY
REQ00371,3.4,6,3.4,6,NORMAL,ROUTE-PRIMARY
REQ00372,1.4,5,1.4,5,MODERATE,ROUTE-PRIMARY
REQ00373,2.3,6,2.3,6,NORMAL,ROUTE-PRIMARY
REQ00374,1.6,6,1.6,6,MODERATE,ROUTE-PRIMARY
REQ00375,1.9,5,1.9,5,NORMAL,ROUTE-PRIMARY
REQ00376,1.4,4,1.4,4,NORMAL,ROUTE-PRIMARY
REQ00377,1.2,3,1.2,3,MODERATE,ROUTE-PRIMARY
REQ00378,1.9,7,1.9,7,NORMAL,ROUTE-PRIMARY
REQ00379,1,4,1,4,NORMAL,ROUTE-PRIMARY
REQ00380,3.5,8,3.5,8,NORMAL,ROUTE-PRIMARY
