emergency_id,first_ambulance_id,first_response,attempts_needed,final_ambulance_id,final_status,recovery_time_sec
REQ00076,AMB0007,TIMEOUT,2,AMB0007,ACCEPTED,15
REQ00077,AMB0003,REJECTED,2,AMB0004,ACCEPTED,15
REQ00078,AMB0131,ACCEPTED,1,AMB0131,ACCEPTED,0
REQ00079,AMB0018,ACCEPTED,1,AMB0018,ACCEPTED,0
REQ00080,AMB0070,ACCEPTED,1,AMB0070,ACCEPTED,0
REQ00081,AMB0064,ACCEPTED,1,AMB0064,ACCEPTED,0
REQ00082,AMB0113,TIMEOUT,2,AMB0115,ACCEPTED,15
REQ00083,AMB0020,ACCEPTED,1,AMB0020,ACCEPTED,0
REQ00084,AMB0074,ACCEPTED,1,AMB0074,ACCEPTED,0
REQ00085,AMB0024,ACCEPTED,1,AMB0024,ACCEPTED,0
REQ00086,AMB0027,ACCEPTED,1,AMB0027,ACCEPTED,0
REQ00087,AMB0053,REJECTED,2,AMB0052,ACCEPTED,15
REQ00088,AMB0042,ACCEPTED,1,AMB0042,ACCEPTED,0
REQ00089,AMB0128,ACCEPTED,1,AMB0128,ACCEPTED,0
REQ00090,AMB0093,ACCEPTED,1,AMB0093,ACCEPTED,0
REQ00091,AMB0027,ACCEPTED,1,AMB0027,ACCEPTED,0
REQ00092,AMB0099,ACCEPTED,1,AMB0099,ACCEPTED,0
REQ00093,AMB0056,ACCEPTED,1,AMB0056,ACCEPTED,0
REQ00094,AMB0091,ACCEPTED,1,AMB0091,ACCEPTED,0
REQ00095,AMB0042,ACCEPTED,1,AMB0042,ACCEPTED,0
REQ00096,AMB0070,ACCEPTED,1,AMB0070,ACCEPTED,0
REQ00097,AMB0131,ACCEPTED,1,AMB0131,ACCEPTED,0
REQ00098,AMB0031,TIMEOUT,2,AMB0030,ACCEPTED,15
REQ00099,AMB0074,ACCEPTED,1,AMB0074,ACCEPTED,0
REQ00100,AMB0103,TIMEOUT,4,AMB0100,ACCEPTED,45
REQ00101,AMB0091,ACCEPTED,1,AMB0091,ACCEPTED,0
REQ00102,AMB0070,ACCEPTED,1,AMB0070,ACCEPTED,0
REQ00103,AMB0068,ACCEPTED,1,AMB0068,ACCEPTED,0
REQ00104,AMB0098,ACCEPTED,1,AMB0098,ACCEPTED,0
REQ00105,AMB0046,ACCEPTED,1,AMB0046,ACCEPTED,0
REQ00106,AMB0074,TIMEOUT,2,AMB0076,ACCEPTED,15
REQ00107,AMB0103,ACCEPTED,1,AMB0103,ACCEPTED,0
REQ00108,AMB0106,ACCEPTED,1,AMB0106,ACCEPTED,0
REQ00109,AMB0091,ACCEPTED,1,AMB0091,ACCEPTED,0
REQ00110,AMB0098,ACCEPTED,1,AMB0098,ACCEPTED,0
REQ00111,AMB0028,REJECTED,2,AMB0026,ACCEPTED,15
REQ00112,AMB0046,TIMEOUT,2,AMB0081,ACCEPTED,15
REQ00113,AMB0064,ACCEPTED,1,AMB0064,ACCEPTED,0
REQ00114,AMB0065,ACCEPTED,1,AMB0065,ACCEPTED,0
REQ00115,AMB0036,ACCEPTED,1,AMB0036,ACCEPTED,0
REQ00116,AMB0012,ACCEPTED,1,AMB0012,ACCEPTED,0
REQ00117,AMB0104,ACCEPTED,1,AMB0104,ACCEPTED,0
REQ00118,AMB0131,TIMEOUT,2,AMB0129,ACCEPTED,15
REQ00119,AMB0088,ACCEPTED,1,AMB0088,ACCEPTED,0
REQ00120,AMB0046,ACCEPTED,1,AMB0046,ACCEPTED,0
REQ00121,AMB0083,ACCEPTED,1,AMB0083,ACCEPTED,0
REQ00122,AMB0012,ACCEPTED,1,AMB0012,ACCEPTED,0
REQ00123,AMB0021,REJECTED,3,AMB0038,ACCEPTED,30
REQ00124,AMB0120,TIMEOUT,2,AMB0123,ACCEPTED,15
REQ00125,AMB0103,ACCEPTED,1,AMB0103,ACCEPTED,0
REQ00126,AMB0065,ACCEPTED,1,AMB0065,ACCEPTED,0
REQ00127,AMB0033,ACCEPTED,1,AMB0033,ACCEPTED,0
REQ00128,AMB0014,TIMEOUT,2,AMB0005,ACCEPTED,15
REQ00129,AMB0031,REJECTED,3,AMB0032,ACCEPTED,30
REQ00130,AMB0110,ACCEPTED,1,AMB0110,ACCEPTED,0
REQ00131,AMB0068,ACCEPTED,1,AMB0068,ACCEPTED,0
REQ00132,AMB0042,ACCEPTED,1,AMB0042,ACCEPTED,0
REQ00133,AMB0037,ACCEPTED,1,AMB0037,ACCEPTED,0
REQ00134,AMB0088,ACCEPTED,1,AMB0088,ACCEPTED,0
REQ00135,AMB0050,REJECTED,2,AMB0051,ACCEPTED,15
REQ00136,AMB0084,ACCEPTED,1,AMB0084,ACCEPTED,0
REQ00137,AMB0120,ACCEPTED,1,AMB0120,ACCEPTED,0
REQ00138,AMB0055,ACCEPTED,1,AMB0055,ACCEPTED,0
REQ00139,AMB0091,ACCEPTED,1,AMB0091,ACCEPTED,0
REQ00140,AMB0009,ACCEPTED,1,AMB0009,ACCEPTED,0
REQ00141,AMB0053,REJECTED,2,AMB0054,ACCEPTED,15
REQ00142,AMB0055,ACCEPTED,1,AMB0055,ACCEPTED,0
REQ00143,AMB0074,ACCEPTED,1,AMB0074,ACCEPTED,0
REQ00144,AMB0131,ACCEPTED,1,AMB0131,ACCEPTED,0
REQ00145,AMB0118,ACCEPTED,1,AMB0118,ACCEPTED,0
REQ00146,AMB0110,TIMEOUT,2,AMB0112,ACCEPTED,15
REQ00147,AMB0091,ACCEPTED,1,AMB0091,ACCEPTED,0
REQ00148,AMB0044,ACCEPTED,1,AMB0044,ACCEPTED,0
REQ00149,AMB0083,ACCEPTED,1,AMB0083,ACCEPTED,0
REQ00150,AMB0022,ACCEPTED,1,AMB0022,ACCEPTED,0
REQ00151,AMB0016,ACCEPTED,1,AMB0016,ACCEPTED,0
REQ00152,AMB0102,ACCEPTED,1,AMB0102,ACCEPTED,0
REQ00153,AMB0003,REJECTED,2,AMB0013,ACCEPTED,15
REQ00154,AMB0091,ACCEPTED,1,AMB0091,ACCEPTED,0
REQ00155,AMB0019,ACCEPTED,1,AMB0019,ACCEPTED,0
REQ00156,AMB0097,ACCEPTED,1,AMB0097,ACCEPTED,0
REQ00157,AMB0027,ACCEPTED,1,AMB0027,ACCEPTED,0
REQ00158,AMB0065,ACCEPTED,1,AMB0065,ACCEPTED,0
REQ00159,AMB0091,ACCEPTED,1,AMB0091,ACCEPTED,0
REQ00160,AMB0125,ACCEPTED,1,AMB0125,ACCEPTED,0
REQ00161,AMB0131,ACCEPTED,1,AMB0131,ACCEPTED,0
REQ00162,AMB0086,ACCEPTED,1,AMB0086,ACCEPTED,0
REQ00163,AMB0083,ACCEPTED,1,AMB0083,ACCEPTED,0
REQ00164,AMB0030,TIMEOUT,4,AMB0066,ACCEPTED,45
REQ00165,AMB0001,REJECTED,3,AMB0005,ACCEPTED,30
REQ00166,AMB0112,ACCEPTED,1,AMB0112,ACCEPTED,0
REQ00167,AMB0079,ACCEPTED,1,AMB0079,ACCEPTED,0
REQ00168,AMB0042,ACCEPTED,1,AMB0042,ACCEPTED,0
REQ00169,AMB0035,ACCEPTED,1,AMB0035,ACCEPTED,0
REQ00170,AMB0083,ACCEPTED,1,AMB0083,ACCEPTED,0
REQ00171,AMB0018,REJECTED,3,AMB0018,ACCEPTED,30
REQ00172,AMB0011,ACCEPTED,1,AMB0011,ACCEPTED,0
REQ00173,AMB0080,ACCEPTED,1,AMB0080,ACCEPTED,0
REQ00174,AMB0076,ACCEPTED,1,AMB0076,ACCEPTED,0
REQ00175,AMB0026,ACCEPTED,1,AMB0026,ACCEPTED,0
REQ00176,AMB0070,TIMEOUT,2,AMB0075,ACCEPTED,15
REQ00177,AMB0014,REJECTED,2,AMB0016,ACCEPTED,15
REQ00178,AMB0003,ACCEPTED,1,AMB0003,ACCEPTED,0
REQ00179,AMB0064,ACCEPTED,1,AMB0064,ACCEPTED,0
REQ00180,AMB0120,ACCEPTED,1,AMB0120,ACCEPTED,0
REQ00181,AMB0053,REJECTED,4,AMB0052,ACCEPTED,45
REQ00182,AMB0110,TIMEOUT,2,AMB0109,ACCEPTED,15
REQ00183,AMB0018,ACCEPTED,1,AMB0018,ACCEPTED,0
REQ00184,AMB0055,ACCEPTED,1,AMB0055,ACCEPTED,0
REQ00185,AMB0035,ACCEPTED,1,AMB0035,ACCEPTED,0
REQ00186,AMB0065,ACCEPTED,1,AMB0065,ACCEPTED,0
REQ00187,AMB0097,ACCEPTED,1,AMB0097,ACCEPTED,0
REQ00188,AMB0088,ACCEPTED,1,AMB0088,ACCEPTED,0
REQ00189,AMB0123,ACCEPTED,1,AMB0123,ACCEPTED,0
REQ00190,AMB0014,ACCEPTED,1,AMB0014,ACCEPTED,0
REQ00191,AMB0131,ACCEPTED,1,AMB0131,ACCEPTED,0
REQ00192,AMB0102,ACCEPTED,1,AMB0102,ACCEPTED,0
REQ00193,AMB0018,REJECTED,2,AMB0018,ACCEPTED,15
REQ00194,AMB0011,TIMEOUT,3,AMB0010,ACCEPTED,30
REQ00195,AMB0089,ACCEPTED,1,AMB0089,ACCEPTED,0
REQ00196,AMB0003,ACCEPTED,1,AMB0003,ACCEPTED,0
REQ00197,AMB0120,ACCEPTED,1,AMB0120,ACCEPTED,0
REQ00198,AMB0104,ACCEPTED,1,AMB0104,ACCEPTED,0
REQ00199,AMB0054,ACCEPTED,1,AMB0054,ACCEPTED,0
REQ00200,AMB0046,TIMEOUT,4,AMB0083,ACCEPTED,45
REQ00201,AMB0030,ACCEPTED,1,AMB0030,ACCEPTED,0
REQ00202,AMB0049,ACCEPTED,1,AMB0049,ACCEPTED,0
REQ00203,AMB0037,ACCEPTED,1,AMB0037,ACCEPTED,0
REQ00204,AMB0055,ACCEPTED,1,AMB0055,ACCEPTED,0
REQ00205,AMB0100,ACCEPTED,1,AMB0100,ACCEPTED,0
REQ00206,AMB0118,ACCEPTED,1,AMB0118,ACCEPTED,0
REQ00207,AMB0083,ACCEPTED,1,AMB0083,ACCEPTED,0
REQ00208,AMB0033,ACCEPTED,1,AMB0033,ACCEPTED,0
REQ00209,AMB0113,ACCEPTED,1,AMB0113,ACCEPTED,0
REQ00210,AMB0008,ACCEPTED,1,AMB0008,ACCEPTED,0
REQ00211,AMB0092,REJECTED,2,AMB0092,ACCEPTED,15
REQ00212,AMB0125,TIMEOUT,2,AMB0123,ACCEPTED,15
REQ00213,AMB0037,ACCEPTED,1,AMB0037,ACCEPTED,0
REQ00214,AMB0088,ACCEPTED,1,AMB0088,ACCEPTED,0
REQ00215,AMB0103,ACCEPTED,1,AMB0103,ACCEPTED,0
REQ00216,AMB0018,ACCEPTED,1,AMB0018,ACCEPTED,0
REQ00217,AMB0055,REJECTED,2,AMB0039,ACCEPTED,15
REQ00218,AMB0103,TIMEOUT,2,AMB0102,ACCEPTED,15
REQ00219,AMB0001,ACCEPTED,1,AMB0001,ACCEPTED,0
REQ00220,AMB0050,ACCEPTED,1,AMB0050,ACCEPTED,0
REQ00221,AMB0018,ACCEPTED,1,AMB0018,ACCEPTED,0
REQ00222,AMB0088,ACCEPTED,1,AMB0088,ACCEPTED,0
REQ00223,AMB0015,ACCEPTED,1,AMB0015,ACCEPTED,0
REQ00224,AMB0065,TIMEOUT,2,AMB0065,ACCEPTED,15
REQ00225,AMB0050,ACCEPTED,1,AMB0050,ACCEPTED,0
REQ00226,AMB0060,ACCEPTED,1,AMB0060,ACCEPTED,0
REQ00227,AMB0027,ACCEPTED,1,AMB0027,ACCEPTED,0
REQ00228,AMB0120,ACCEPTED,1,AMB0120,ACCEPTED,0
REQ00229,AMB0024,REJECTED,2,AMB0023,ACCEPTED,15
REQ00230,AMB0026,ACCEPTED,1,AMB0026,ACCEPTED,0
REQ00231,AMB0066,ACCEPTED,1,AMB0066,ACCEPTED,0
REQ00232,AMB0041,ACCEPTED,1,AMB0041,ACCEPTED,0
REQ00233,AMB0039,ACCEPTED,1,AMB0039,ACCEPTED,0
REQ00234,AMB0049,ACCEPTED,1,AMB0049,ACCEPTED,0
REQ00235,AMB0098,ACCEPTED,1,AMB0098,ACCEPTED,0
REQ00236,AMB0024,ACCEPTED,1,AMB0024,ACCEPTED,0
REQ00237,AMB0033,ACCEPTED,1,AMB0033,ACCEPTED,0
REQ00238,AMB0037,ACCEPTED,1,AMB0037,ACCEPTED,0
REQ00239,AMB0079,ACCEPTED,1,AMB0079,ACCEPTED,0
REQ00240,AMB0023,ACCEPTED,1,AMB0023,ACCEPTED,0
REQ00241,AMB0118,ACCEPTED,1,AMB0118,ACCEPTED,0
REQ00242,AMB0043,ACCEPTED,1,AMB0043,ACCEPTED,0
REQ00243,AMB0065,ACCEPTED,1,AMB0065,ACCEPTED,0
REQ00244,AMB0127,ACCEPTED,1,AMB0127,ACCEPTED,0
REQ00245,AMB0108,ACCEPTED,1,AMB0108,ACCEPTED,0
REQ00246,AMB0011,TIMEOUT,2,AMB0012,ACCEPTED,15
REQ00247,AMB0018,REJECTED,2,AMB0015,ACCEPTED,15
REQ00248,AMB0102,ACCEPTED,1,AMB0102,ACCEPTED,0
REQ00249,AMB0055,ACCEPTED,1,AMB0055,ACCEPTED,0
REQ00250,AMB0049,ACCEPTED,1,AMB0049,ACCEPTED,0
REQ00251,AMB0037,ACCEPTED,1,AMB0037,ACCEPTED,0
REQ00252,AMB0011,TIMEOUT,3,AMB0010,ACCEPTED,30
REQ00253,AMB0125,REJECTED,2,AMB0117,ACCEPTED,15
REQ00254,AMB0112,ACCEPTED,1,AMB0112,ACCEPTED,0
REQ00255,AMB0069,ACCEPTED,1,AMB0069,ACCEPTED,0
REQ00256,AMB0043,ACCEPTED,1,AMB0043,ACCEPTED,0
REQ00257,AMB0113,REJECTED,2,AMB0113,ACCEPTED,15
REQ00258,AMB0059,TIMEOUT,2,AMB0062,ACCEPTED,15
REQ00259,AMB0057,REJECTED,2,AMB0058,ACCEPTED,15
REQ00260,AMB0118,ACCEPTED,1,AMB0118,ACCEPTED,0
REQ00261,AMB0084,ACCEPTED,1,AMB0084,ACCEPTED,0
REQ00262,AMB0020,ACCEPTED,1,AMB0020,ACCEPTED,0
REQ00263,AMB0007,ACCEPTED,1,AMB0007,ACCEPTED,0
REQ00264,AMB0095,ACCEPTED,1,AMB0095,ACCEPTED,0
REQ00265,AMB0098,REJECTED,3,AMB0101,ACCEPTED,30
REQ00266,AMB0036,ACCEPTED,1,AMB0036,ACCEPTED,0
REQ00267,AMB0131,ACCEPTED,1,AMB0131,ACCEPTED,0
REQ00268,AMB0091,ACCEPTED,1,AMB0091,ACCEPTED,0
REQ00269,AMB0113,REJECTED,2,AMB0115,ACCEPTED,15
REQ00270,AMB0128,TIMEOUT,2,AMB0128,ACCEPTED,15
REQ00271,AMB0123,REJECTED,2,AMB0123,ACCEPTED,15
REQ00272,AMB0055,ACCEPTED,1,AMB0055,ACCEPTED,0
REQ00273,AMB0014,ACCEPTED,1,AMB0014,ACCEPTED,0
REQ00274,AMB0007,ACCEPTED,1,AMB0007,ACCEPTED,0
REQ00275,AMB0018,ACCEPTED,1,AMB0018,ACCEPTED,0
REQ00276,AMB0031,TIMEOUT,2,AMB0030,ACCEPTED,15
REQ00277,AMB0086,REJECTED,3,AMB0087,ACCEPTED,30
REQ00278,AMB0036,ACCEPTED,1,AMB0036,ACCEPTED,0
REQ00279,AMB0038,ACCEPTED,1,AMB0038,ACCEPTED,0
REQ00280,AMB0001,ACCEPTED,1,AMB0001,ACCEPTED,0
REQ00281,AMB0131,ACCEPTED,1,AMB0131,ACCEPTED,0
REQ00282,AMB0032,TIMEOUT,2,AMB0031,ACCEPTED,15
REQ00283,AMB0080,ACCEPTED,1,AMB0080,ACCEPTED,0
REQ00284,AMB0049,ACCEPTED,1,AMB0049,ACCEPTED,0
REQ00285,AMB0069,ACCEPTED,1,AMB0069,ACCEPTED,0
REQ00286,AMB0083,ACCEPTED,1,AMB0083,ACCEPTED,0
REQ00287,AMB0065,ACCEPTED,1,AMB0065,ACCEPTED,0
REQ00288,AMB0048,TIMEOUT,2,AMB0049,ACCEPTED,15
REQ00289,AMB0026,ACCEPTED,1,AMB0026,ACCEPTED,0
REQ00290,AMB0006,ACCEPTED,1,AMB0006,ACCEPTED,0
REQ00291,AMB0020,ACCEPTED,1,AMB0020,ACCEPTED,0
REQ00292,AMB0018,ACCEPTED,1,AMB0018,ACCEPTED,0
REQ00293,AMB0037,ACCEPTED,1,AMB0037,ACCEPTED,0
REQ00294,AMB0053,TIMEOUT,3,AMB0054,ACCEPTED,30
REQ00295,AMB0037,ACCEPTED,1,AMB0037,ACCEPTED,0
REQ00296,AMB0114,ACCEPTED,1,AMB0114,ACCEPTED,0
REQ00297,AMB0131,ACCEPTED,1,AMB0131,ACCEPTED,0
REQ00298,AMB0118,ACCEPTED,1,AMB0118,ACCEPTED,0
REQ00299,AMB0131,ACCEPTED,1,AMB0131,ACCEPTED,0
REQ00300,AMB0128,TIMEOUT,3,AMB0108,ACCEPTED,30
REQ00301,AMB0065,ACCEPTED,1,AMB0065,ACCEPTED,0
REQ00302,AMB0088,ACCEPTED,1,AMB0088,ACCEPTED,0
REQ00303,AMB0068,ACCEPTED,1,AMB0068,ACCEPTED,0
REQ00304,AMB0117,ACCEPTED,1,AMB0117,ACCEPTED,0
REQ00305,AMB0053,REJECTED,2,AMB0052,ACCEPTED,15
REQ00306,AMB0118,ACCEPTED,1,AMB0118,ACCEPTED,0
REQ00307,AMB0033,ACCEPTED,1,AMB0033,ACCEPTED,0
REQ00308,AMB0059,ACCEPTED,1,AMB0059,ACCEPTED,0
REQ00309,AMB0088,ACCEPTED,1,AMB0088,ACCEPTED,0
REQ00310,AMB0072,ACCEPTED,1,AMB0072,ACCEPTED,0
REQ00311,AMB0131,ACCEPTED,1,AMB0131,ACCEPTED,0
REQ00312,AMB0103,TIMEOUT,2,AMB0102,ACCEPTED,15
REQ00313,AMB0123,ACCEPTED,1,AMB0123,ACCEPTED,0
REQ00314,AMB0107,ACCEPTED,1,AMB0107,ACCEPTED,0
REQ00315,AMB0011,ACCEPTED,1,AMB0011,ACCEPTED,0
REQ00316,AMB0089,ACCEPTED,1,AMB0089,ACCEPTED,0
REQ00317,AMB0095,ACCEPTED,1,AMB0095,ACCEPTED,0
REQ00318,AMB0067,TIMEOUT,2,AMB0069,ACCEPTED,15
REQ00319,AMB0074,ACCEPTED,1,AMB0074,ACCEPTED,0
REQ00320,AMB0074,ACCEPTED,1,AMB0074,ACCEPTED,0
REQ00321,AMB0123,ACCEPTED,1,AMB0123,ACCEPTED,0
REQ00322,AMB0059,ACCEPTED,1,AMB0059,ACCEPTED,0
REQ00323,AMB0043,ACCEPTED,1,AMB0043,ACCEPTED,0
REQ00324,AMB0055,TIMEOUT,2,AMB0053,ACCEPTED,15
REQ00325,AMB0086,ACCEPTED,1,AMB0086,ACCEPTED,0
REQ00326,AMB0020,ACCEPTED,1,AMB0020,ACCEPTED,0
REQ00327,AMB0020,ACCEPTED,1,AMB0020,ACCEPTED,0
REQ00328,AMB0021,ACCEPTED,1,AMB0021,ACCEPTED,0
REQ00329,AMB0014,REJECTED,3,AMB0003,ACCEPTED,30
REQ00330,AMB0131,ACCEPTED,1,AMB0131,ACCEPTED,0
REQ00331,AMB0021,ACCEPTED,1,AMB0021,ACCEPTED,0
REQ00332,AMB0131,ACCEPTED,1,AMB0131,ACCEPTED,0
REQ00333,AMB0057,ACCEPTED,1,AMB0057,ACCEPTED,0
REQ00334,AMB0110,TIMEOUT,2,AMB0109,ACCEPTED,15
REQ00335,AMB0120,REJECTED,2,AMB0125,ACCEPTED,15
REQ00336,AMB0027,ACCEPTED,1,AMB0027,ACCEPTED,0
REQ00337,AMB0062,ACCEPTED,1,AMB0062,ACCEPTED,0
REQ00338,AMB0006,ACCEPTED,1,AMB0006,ACCEPTED,0
REQ00339,AMB0018,ACCEPTED,1,AMB0018,ACCEPTED,0
REQ00340,AMB0123,ACCEPTED,1,AMB0123,ACCEPTED,0
REQ00341,AMB0031,REJECTED,2,AMB0057,ACCEPTED,15
REQ00342,AMB0120,ACCEPTED,1,AMB0120,ACCEPTED,0
REQ00343,AMB0053,ACCEPTED,1,AMB0053,ACCEPTED,0
REQ00344,AMB0010,ACCEPTED,1,AMB0010,ACCEPTED,0
REQ00345,AMB0125,ACCEPTED,1,AMB0125,ACCEPTED,0
REQ00346,AMB0131,ACCEPTED,1,AMB0131,ACCEPTED,0
REQ00347,AMB0038,ACCEPTED,1,AMB0038,ACCEPTED,0
REQ00348,AMB0100,ACCEPTED,1,AMB0100,ACCEPTED,0
REQ00349,AMB0072,ACCEPTED,1,AMB0072,ACCEPTED,0
REQ00350,AMB0042,ACCEPTED,1,AMB0042,ACCEPTED,0
REQ00351,AMB0131,ACCEPTED,1,AMB0131,ACCEPTED,0
REQ00352,AMB0055,TIMEOUT,3,AMB0034,ACCEPTED,30
REQ00353,AMB0049,REJECTED,2,AMB0040,ACCEPTED,15
REQ00354,AMB0092,ACCEPTED,1,AMB0092,ACCEPTED,0
REQ00355,AMB0015,ACCEPTED,1,AMB0015,ACCEPTED,0
REQ00356,AMB0099,ACCEPTED,1,AMB0099,ACCEPTED,0
REQ00357,AMB0027,ACCEPTED,1,AMB0027,ACCEPTED,0
REQ00358,AMB0033,TIMEOUT,2,AMB0058,ACCEPTED,15
REQ00359,AMB0125,REJECTED,2,AMB0117,ACCEPTED,15
REQ00360,AMB0128,ACCEPTED,1,AMB0128,ACCEPTED,0
REQ00361,AMB0031,ACCEPTED,1,AMB0031,ACCEPTED,0
REQ00362,AMB0014,ACCEPTED,1,AMB0014,ACCEPTED,0
REQ00363,AMB0027,ACCEPTED,1,AMB0027,ACCEPTED,0
REQ00364,AMB0108,ACCEPTED,1,AMB0108,ACCEPTED,0
REQ00365,AMB0086,REJECTED,3,AMB0090,ACCEPTED,30
REQ00366,AMB0106,ACCEPTED,1,AMB0106,ACCEPTED,0
REQ00367,AMB0096,ACCEPTED,1,AMB0096,ACCEPTED,0
REQ00368,AMB0092,ACCEPTED,1,AMB0092,ACCEPTED,0
