emergency_id,baseline_ambulance_id,baseline_eta,baseline_distance,uk_ambulance_id,uk_eta,uk_distance,uk_score,traffic
REQ00056,AMB0127,9,2.45,AMB0128,8,2.4,0.359,MODERATE
REQ00057,AMB0033,4,1.13,AMB0036,4,1.1,0.305,MODERATE
REQ00058,AMB0066,4,1.15,AMB0065,3,1.1,0.272,HEAVY
REQ00059,AMB0097,4,1.57,AMB0097,4,1.6,0.224,NORMAL
REQ00060,AMB0045,12,3.67,AMB0044,11,3.4,0.476,NORMAL
REQ00061,AMB0072,5,1.42,AMB0072,5,1.4,0.285,NORMAL
REQ00062,AMB0118,3,1.3,AMB0118,3,1.3,0.197,MODERATE
REQ00063,AMB0046,8,3.09,AMB0046,8,3.1,0.294,MODERATE
REQ00064,AMB0009,4,1.97,AMB0006,4,1.9,0.295,NORMAL
REQ00065,AMB0113,2,0.64,AMB0113,2,0.6,0.171,NORMAL
REQ00066,AMB0102,5,1.93,AMB0102,5,1.9,0.331,NORMAL
REQ00067,AMB0118,10,3.26,AMB0118,10,3.3,0.496,NORMAL
REQ00068,AMB0127,3,0.82,AMB0128,2,0.7,0.168,NORMAL
REQ00069,AMB0063,6,1.9,AMB0065,6,1.8,0.344,MODERATE
REQ00070,AMB0059,2,0.72,AMB0059,2,0.7,0.286,HEAVY
REQ00071,AMB0034,8,2.49,AMB0033,7,2.3,0.443,NORMAL
REQ00072,AMB0102,4,1.36,AMB0102,4,1.4,0.321,NORMAL
REQ00073,AMB0010,2,1.03,AMB0010,2,1,0.202,HEAVY
REQ00074,AMB0039,6,1.76,AMB0037,6,1.6,0.359,MODERATE
REQ00075,AMB0130,10,2.68,AMB0131,9,2.4,0.367,NORMAL
REQ00076,AMB0006,8,2.71,AMB0007,7,2.5,0.471,HEAVY
REQ00077,AMB0003,11,3.54,AMB0003,11,3.5,0.567,MODERATE
REQ00078,AMB0129,6,1.53,AMB0131,5,1.3,0.222,NORMAL
REQ00079,AMB0017,6,1.57,AMB0018,5,1.4,0.343,HEAVY
REQ00080,AMB0075,15,4.75,AMB0070,9,3.1,0.628,NORMAL
REQ00081,AMB0066,8,2.57,AMB0064,8,2.6,0.532,MODERATE
REQ00082,AMB0113,6,1.59,AMB0113,6,1.6,0.182,HEAVY
REQ00083,AMB0020,5,1.48,AMB0020,5,1.5,0.165,MODERATE
REQ00084,AMB0074,3,1.35,AMB0074,3,1.4,0.284,NORMAL
REQ00085,AMB0024,5,1.28,AMB0024,5,1.3,0.313,NORMAL
REQ00086,AMB0029,4,1.23,AMB0027,4,1.2,0.231,MODERATE
REQ00087,AMB0054,3,1.07,AMB0053,3,1,0.308,MODERATE
REQ00088,AMB0042,5,1.93,AMB0042,5,1.9,0.508,NORMAL
REQ00089,AMB0128,7,1.95,AMB0128,7,2,0.21,MODERATE
REQ00090,AMB0093,2,0.14,AMB0093,1,0.1,0.1,MODERATE
REQ00091,AMB0029,4,1.34,AMB0027,4,1.3,0.25,NORMAL
REQ00092,AMB0103,5,2.05,AMB0099,4,2,0.327,MODERATE
REQ00093,AMB0056,3,0.96,AMB0056,3,1,0.251,NORMAL
REQ00094,AMB0094,7,2.51,AMB0091,5,2,0.515,NORMAL
REQ00095,AMB0044,19,9.12,AMB0042,9,5.1,0.4,NORMAL
REQ00096,AMB0073,8,2.84,AMB0070,7,2.7,0.565,MODERATE
REQ00097,AMB0130,10,2.55,AMB0131,9,2.2,0.36,NORMAL
REQ00098,AMB0031,4,1.15,AMB0031,4,1.2,0.273,NORMAL
REQ00099,AMB0076,5,1.32,AMB0074,4,1.2,0.248,NORMAL
REQ00100,AMB0098,17,6.48,AMB0103,9,3,0.535,NORMAL
REQ00101,AMB0093,9,2.64,AMB0091,9,2.5,0.398,MODERATE
REQ00102,AMB0072,8,2.42,AMB0070,7,2.6,0.565,NORMAL
REQ00103,AMB0067,2,0.53,AMB0068,2,0.5,0.207,HEAVY
REQ00104,AMB0098,4,1.49,AMB0098,4,1.5,0.258,NORMAL
REQ00105,AMB0046,4,1.63,AMB0046,4,1.6,0.168,MODERATE
REQ00106,AMB0074,6,2.23,AMB0074,6,2.2,0.41,NORMAL
REQ00107,AMB0098,15,5.78,AMB0103,7,2.3,0.479,NORMAL
REQ00108,AMB0106,4,1.09,AMB0106,4,1.1,0.254,NORMAL
REQ00109,AMB0093,7,1.91,AMB0091,6,1.7,0.211,NORMAL
REQ00110,AMB0104,7,2.59,AMB0098,7,2.5,0.498,NORMAL
REQ00111,AMB0028,2,0.38,AMB0028,1,0.4,0.154,NORMAL
REQ00112,AMB0083,23,10.6,AMB0046,15,6.9,0.426,NORMAL
REQ00113,AMB0068,17,6.48,AMB0064,12,4.2,0.64,MODERATE
REQ00114,AMB0066,4,1.31,AMB0065,4,1.2,0.294,NORMAL
REQ00115,AMB0037,8,2.9,AMB0036,8,3.1,0.612,NORMAL
REQ00116,AMB0012,7,3.36,AMB0012,7,3.4,0.417,MODERATE
REQ00117,AMB0104,6,2.28,AMB0104,6,2.3,0.487,NORMAL
REQ00118,AMB0130,7,1.87,AMB0131,6,1.6,0.234,NORMAL
REQ00119,AMB0079,12,3.72,AMB0088,9,3.4,0.384,NORMAL
REQ00120,AMB0047,4,1.01,AMB0046,3,0.8,0.145,NORMAL
REQ00121,AMB0079,25,12.92,AMB0083,13,6.1,0.396,NORMAL
REQ00122,AMB0012,6,3.01,AMB0012,6,3,0.393,NORMAL
REQ00123,AMB0037,10,3.63,AMB0021,8,3.2,0.673,NORMAL
REQ00124,AMB0124,10,3.49,AMB0120,5,2,0.174,HEAVY
REQ00125,AMB0103,6,1.75,AMB0103,6,1.8,0.315,NORMAL
REQ00126,AMB0065,4,1.53,AMB0065,4,1.5,0.348,NORMAL
REQ00127,AMB0035,5,1.65,AMB0033,4,1.5,0.321,HEAVY
REQ00128,AMB0003,15,7.62,AMB0014,7,3.7,0.41,MODERATE
REQ00129,AMB0031,2,0.25,AMB0031,1,0.3,0.122,MODERATE
REQ00130,AMB0109,9,3.68,AMB0110,6,2.7,0.418,NORMAL
REQ00131,AMB0067,8,2.1,AMB0068,8,2.1,0.548,MODERATE
REQ00132,AMB0042,8,2.56,AMB0042,8,2.6,0.545,NORMAL
REQ00133,AMB0037,9,3.07,AMB0037,9,3.1,0.531,NORMAL
REQ00134,AMB0090,3,0.76,AMB0088,3,0.7,0.185,NORMAL
REQ00135,AMB0050,3,0.9,AMB0050,3,0.9,0.239,MODERATE
REQ00136,AMB0085,5,1.42,AMB0084,5,1.2,0.151,HEAVY
REQ00137,AMB0125,14,5.63,AMB0120,8,3.6,0.406,NORMAL
REQ00138,AMB0057,18,6.37,AMB0055,9,3.1,0.542,NORMAL
REQ00139,AMB0067,11,3.62,AMB0091,8,3,0.641,HEAVY
REQ00140,AMB0010,4,1.52,AMB0009,4,1.3,0.277,MODERATE
REQ00141,AMB0052,2,0.74,AMB0053,2,0.7,0.255,MODERATE
REQ00142,AMB0055,3,0.91,AMB0055,3,0.9,0.225,HEAVY
REQ00143,AMB0076,3,0.77,AMB0074,2,0.7,0.162,NORMAL
REQ00144,AMB0129,4,0.92,AMB0131,3,0.7,0.185,NORMAL
REQ00145,AMB0118,9,2.72,AMB0118,9,2.7,0.445,HEAVY
REQ00146,AMB0110,6,2.42,AMB0110,6,2.4,0.435,MODERATE
REQ00147,AMB0092,5,2.3,AMB0091,5,2.2,0.329,NORMAL
REQ00148,AMB0045,10,3.45,AMB0044,9,3.2,0.454,NORMAL
REQ00149,AMB0080,26,14.37,AMB0083,13,7.3,0.278,NORMAL
REQ00150,AMB0022,3,1.28,AMB0022,3,1.3,0.202,NORMAL
REQ00151,AMB0016,5,2.2,AMB0016,5,2.2,0.419,NORMAL
REQ00152,AMB0103,5,1.35,AMB0102,4,1.2,0.293,NORMAL
REQ00153,AMB0015,14,5.42,AMB0003,9,3.3,0.571,MODERATE
REQ00154,AMB0091,5,1.59,AMB0091,5,1.6,0.197,HEAVY
REQ00155,AMB0017,6,1.51,AMB0019,5,1.3,0.34,NORMAL
REQ00156,AMB0097,6,1.73,AMB0097,6,1.7,0.255,NORMAL
REQ00157,AMB0029,6,1.65,AMB0027,6,1.6,0.269,NORMAL
REQ00158,AMB0066,6,1.96,AMB0065,6,1.9,0.424,NORMAL
REQ00159,AMB0092,3,1.2,AMB0091,2,1.1,0.161,NORMAL
REQ00160,AMB0125,3,1.43,AMB0125,3,1.4,0.21,NORMAL
REQ00161,AMB0131,6,2.7,AMB0131,6,2.7,0.321,MODERATE
REQ00162,AMB0086,4,1.38,AMB0086,4,1.4,0.259,NORMAL
REQ00163,AMB0079,23,13.25,AMB0083,10,6.5,0.356,HEAVY
REQ00164,AMB0030,4,1.19,AMB0030,4,1.2,0.385,NORMAL
REQ00165,AMB0002,8,2.78,AMB0001,5,2.1,0.351,MODERATE
REQ00166,AMB0111,7,1.98,AMB0112,7,1.8,0.202,HEAVY
REQ00167,AMB0090,46,21.39,AMB0079,35,18.6,0.441,NORMAL
REQ00168,AMB0040,8,2.72,AMB0042,7,2.6,0.669,MODERATE
REQ00169,AMB0035,2,0.88,AMB0035,2,0.9,0.25,HEAVY
REQ00170,AMB0081,8,2.32,AMB0083,8,2.8,0.231,MODERATE
REQ00171,AMB0017,13,3.48,AMB0018,12,3.3,0.538,NORMAL
REQ00172,AMB0012,10,2.8,AMB0011,10,3,0.461,HEAVY
REQ00173,AMB0079,8,2.28,AMB0080,8,2.3,0.387,MODERATE
REQ00174,AMB0076,4,0.95,AMB0076,4,1,0.249,NORMAL
REQ00175,AMB0026,9,2.46,AMB0026,9,2.5,0.591,NORMAL
REQ00176,AMB0076,11,3.55,AMB0070,8,2.8,0.604,NORMAL
REQ00177,AMB0014,3,0.81,AMB0014,3,0.8,0.225,MODERATE
REQ00178,AMB0003,2,0.6,AMB0003,2,0.6,0.178,NORMAL
REQ00179,AMB0061,9,3.04,AMB0064,6,2.1,0.582,MODERATE
REQ00180,AMB0121,5,1.36,AMB0120,4,1.1,0.101,NORMAL
REQ00181,AMB0055,6,2.12,AMB0053,5,2,0.48,NORMAL
REQ00182,AMB0110,5,1.93,AMB0110,5,1.9,0.273,NORMAL
REQ00183,AMB0017,10,2.73,AMB0018,9,2.6,0.503,NORMAL
REQ00184,AMB0039,7,2.03,AMB0055,5,2,0.373,NORMAL
REQ00185,AMB0057,16,4.85,AMB0035,9,2.7,0.466,MODERATE
REQ00186,AMB0065,6,1.91,AMB0065,6,1.9,0.349,NORMAL
REQ00187,AMB0097,3,1.04,AMB0097,3,1,0.19,NORMAL
REQ00188,AMB0089,20,8.17,AMB0088,6,1.6,0.152,NORMAL
REQ00189,AMB0125,7,3.16,AMB0123,6,2.9,0.485,MODERATE
REQ00190,AMB0014,5,1.91,AMB0014,5,1.9,0.291,HEAVY
REQ00191,AMB0131,4,1.63,AMB0131,4,1.6,0.219,NORMAL
REQ00192,AMB0102,2,0.25,AMB0102,1,0.3,0.146,NORMAL
REQ00193,AMB0017,9,2.22,AMB0018,8,2.1,0.548,HEAVY
REQ00194,AMB0011,3,1.22,AMB0011,3,1.2,0.196,NORMAL
REQ00195,AMB0075,20,8.14,AMB0089,12,4.3,0.35,MODERATE
REQ00196,AMB0015,14,5.58,AMB0003,6,2.3,0.462,HEAVY
REQ00197,AMB0123,11,4.33,AMB0120,6,2.5,0.358,NORMAL
REQ00198,AMB0104,4,1.81,AMB0104,4,1.8,0.3,NORMAL
REQ00199,AMB0076,6,1.59,AMB0054,3,1,0.272,NORMAL
REQ00200,AMB0046,4,1.76,AMB0046,4,1.8,0.17,NORMAL
REQ00201,AMB0030,5,1.61,AMB0030,5,1.6,0.548,NORMAL
REQ00202,AMB0049,2,0.17,AMB0049,1,0.2,0.131,NORMAL
REQ00203,AMB0038,4,1.79,AMB0037,3,1.3,0.295,NORMAL
REQ00204,AMB0055,3,1.06,AMB0055,3,1.1,0.196,NORMAL
REQ00205,AMB0086,8,2.75,AMB0100,8,2.7,0.412,HEAVY
REQ00206,AMB0118,6,2.41,AMB0118,6,2.4,0.357,MODERATE
REQ00207,AMB0081,45,21.41,AMB0083,10,2.6,0.27,NORMAL
REQ00208,AMB0035,9,2.76,AMB0033,8,2.6,0.463,HEAVY
REQ00209,AMB0115,8,2.78,AMB0113,8,3.2,0.367,MODERATE
REQ00210,AMB0008,4,1.55,AMB0008,4,1.6,0.287,MODERATE
REQ00211,AMB0094,7,2.79,AMB0092,5,2,0.535,NORMAL
REQ00212,AMB0125,2,0.51,AMB0125,1,0.5,0.116,NORMAL
REQ00213,AMB0038,5,1.92,AMB0037,4,1.5,0.26,MODERATE
REQ00214,AMB0084,52,20.4,AMB0088,11,3.5,0.32,NORMAL
REQ00215,AMB0103,8,2.36,AMB0103,8,2.4,0.503,NORMAL
REQ00216,AMB0018,4,1.09,AMB0018,4,1.1,0.299,NORMAL
REQ00217,AMB0055,7,2.2,AMB0055,7,2.2,0.487,HEAVY
REQ00218,AMB0103,5,1.68,AMB0103,5,1.7,0.304,MODERATE
REQ00219,AMB0001,6,2.8,AMB0001,6,2.8,0.352,MODERATE
REQ00220,AMB0050,2,0.37,AMB0050,1,0.4,0.159,NORMAL
REQ00221,AMB0018,8,2.81,AMB0018,8,2.8,0.567,NORMAL
REQ00222,AMB0090,4,0.97,AMB0088,4,0.9,0.206,NORMAL
REQ00223,AMB0016,19,5.55,AMB0015,7,2.6,0.453,NORMAL
REQ00224,AMB0064,5,1.82,AMB0065,5,1.7,0.405,NORMAL
REQ00225,AMB0038,5,1.89,AMB0050,3,1.1,0.255,MODERATE
REQ00226,AMB0059,3,1.02,AMB0060,2,0.5,0.23,NORMAL
REQ00227,AMB0029,5,1.57,AMB0027,5,1.6,0.269,NORMAL
REQ00228,AMB0121,8,1.99,AMB0120,7,1.8,0.115,NORMAL
REQ00229,AMB0024,2,0.58,AMB0024,2,0.6,0.204,HEAVY
REQ00230,AMB0027,4,1.6,AMB0026,4,1.4,0.303,NORMAL
REQ00231,AMB0066,11,3.56,AMB0066,10,3.6,0.76,NORMAL
REQ00232,AMB0041,5,1.67,AMB0041,5,1.7,0.32,HEAVY
REQ00233,AMB0039,7,1.94,AMB0039,7,1.9,0.372,NORMAL
REQ00234,AMB0050,3,1.31,AMB0049,2,1.1,0.272,NORMAL
REQ00235,AMB0098,6,2.21,AMB0098,6,2.2,0.457,HEAVY
REQ00236,AMB0024,8,1.98,AMB0024,8,2,0.382,NORMAL
REQ00237,AMB0033,5,1.57,AMB0033,5,1.6,0.247,MODERATE
REQ00238,AMB0038,3,0.98,AMB0037,2,0.5,0.158,NORMAL
REQ00239,AMB0078,10,3,AMB0079,9,2.8,0.361,MODERATE
REQ00240,AMB0025,4,1.09,AMB0023,3,1.1,0.258,NORMAL
REQ00241,AMB0118,10,2.86,AMB0118,10,2.9,0.455,MODERATE
REQ00242,AMB0040,13,4.73,AMB0043,9,3.3,0.575,NORMAL
REQ00243,AMB0061,8,2.8,AMB0065,4,1.7,0.429,NORMAL
REQ00244,AMB0127,4,1.02,AMB0127,4,1,0.2,NORMAL
REQ00245,AMB0108,2,0.59,AMB0108,2,0.6,0.186,NORMAL
REQ00246,AMB0011,4,1.24,AMB0011,4,1.2,0.208,NORMAL
REQ00247,AMB0013,10,3.66,AMB0018,6,2,0.365,HEAVY
REQ00248,AMB0102,10,3.54,AMB0102,10,3.5,0.412,NORMAL
REQ00249,AMB0055,5,1.92,AMB0055,5,1.9,0.351,MODERATE
REQ00250,AMB0042,6,2.29,AMB0049,5,2.1,0.53,NORMAL
REQ00251,AMB0038,4,1.44,AMB0037,3,1,0.224,NORMAL
REQ00252,AMB0011,8,2.29,AMB0011,7,2.3,0.42,NORMAL
REQ00253,AMB0118,13,4.5,AMB0125,13,5.1,0.45,HEAVY
REQ00254,AMB0110,2,0.73,AMB0112,2,0.6,0.17,NORMAL
REQ00255,AMB0069,5,1.98,AMB0069,5,2,0.524,NORMAL
REQ00256,AMB0043,2,0.76,AMB0043,2,0.8,0.146,HEAVY
REQ00257,AMB0114,7,2.83,AMB0113,7,2.7,0.493,MODERATE
REQ00258,AMB0061,4,1.22,AMB0059,3,0.9,0.341,MODERATE
REQ00259,AMB0057,3,0.83,AMB0057,3,0.8,0.262,HEAVY
REQ00260,AMB0118,4,1.29,AMB0118,4,1.3,0.18,MODERATE
REQ00261,AMB0101,13,5.9,AMB0084,8,2.8,0.577,NORMAL
REQ00262,AMB0022,4,1.29,AMB0020,3,0.9,0.128,NORMAL
REQ00263,AMB0006,6,2.34,AMB0007,6,2.1,0.376,NORMAL
REQ00264,AMB0107,16,6.45,AMB0095,8,2.6,0.418,NORMAL
REQ00265,AMB0098,5,1.67,AMB0098,5,1.7,0.275,NORMAL
REQ00266,AMB0034,2,0.39,AMB0036,1,0.4,0.148,NORMAL
REQ00267,AMB0130,5,1.24,AMB0131,3,0.9,0.197,MODERATE
REQ00268,AMB0069,8,2.86,AMB0091,6,2.4,0.581,NORMAL
REQ00269,AMB0114,4,1.24,AMB0113,3,1.1,0.253,MODERATE
REQ00270,AMB0127,9,2.33,AMB0128,8,2.2,0.453,NORMAL
REQ00271,AMB0125,9,3.9,AMB0123,9,3.6,0.553,NORMAL
REQ00272,AMB0055,3,0.9,AMB0055,3,0.9,0.242,NORMAL
REQ00273,AMB0014,6,2.12,AMB0014,6,2.1,0.443,MODERATE
REQ00274,AMB0007,8,2.66,AMB0007,7,2.7,0.451,NORMAL
REQ00275,AMB0018,8,2.65,AMB0018,8,2.7,0.553,NORMAL
REQ00276,AMB0031,2,0.6,AMB0031,2,0.6,0.197,NORMAL
REQ00277,AMB0086,4,1.26,AMB0086,3,1.3,0.256,MODERATE
REQ00278,AMB0034,2,0.82,AMB0036,2,0.8,0.237,NORMAL
REQ00279,AMB0050,6,2.18,AMB0038,4,1.2,0.266,NORMAL
REQ00280,AMB0002,9,2.42,AMB0001,8,2.2,0.388,NORMAL
REQ00281,AMB0131,10,3.42,AMB0131,10,3.4,0.406,MODERATE
REQ00282,AMB0032,3,0.75,AMB0032,3,0.8,0.264,MODERATE
REQ00283,AMB0078,14,4.19,AMB0080,14,4.1,0.454,HEAVY
REQ00284,AMB0049,2,0.15,AMB0049,1,0.2,0.123,MODERATE
REQ00285,AMB0060,10,2.88,AMB0069,6,2.1,0.508,MODERATE
REQ00286,AMB0079,21,12.37,AMB0083,8,5.6,0.317,NORMAL
REQ00287,AMB0065,2,0.54,AMB0065,2,0.5,0.182,NORMAL
REQ00288,AMB0048,2,0.37,AMB0048,1,0.4,0.194,NORMAL
REQ00289,AMB0026,9,2.36,AMB0026,8,2.4,0.669,NORMAL
REQ00290,AMB0006,4,1.95,AMB0006,4,2,0.296,NORMAL
REQ00291,AMB0022,6,2.16,AMB0020,5,1.8,0.292,NORMAL
REQ00292,AMB0018,9,2.7,AMB0018,9,2.7,0.566,NORMAL
REQ00293,AMB0039,3,0.83,AMB0037,2,0.6,0.177,NORMAL
REQ00294,AMB0053,3,1.02,AMB0053,3,1,0.296,NORMAL
REQ00295,AMB0037,9,2.7,AMB0037,9,2.7,0.577,HEAVY
REQ00296,AMB0114,6,1.78,AMB0114,6,1.8,0.276,NORMAL
REQ00297,AMB0130,7,1.73,AMB0131,5,1.4,0.226,MODERATE
REQ00298,AMB0119,9,2.47,AMB0118,9,2.4,0.391,NORMAL
REQ00299,AMB0131,7,2.47,AMB0131,7,2.5,0.352,NORMAL
REQ00300,AMB0107,12,4.88,AMB0128,5,2.3,0.471,NORMAL
REQ00301,AMB0066,3,0.87,AMB0065,3,0.8,0.205,NORMAL
REQ00302,AMB0074,12,5.73,AMB0088,6,2.9,0.424,MODERATE
REQ00303,AMB0067,7,1.98,AMB0068,7,2,0.319,NORMAL
REQ00304,AMB0116,7,1.79,AMB0117,7,1.8,0.239,NORMAL
REQ00305,AMB0053,2,0.59,AMB0053,2,0.6,0.212,MODERATE
REQ00306,AMB0118,10,2.95,AMB0118,10,3,0.467,NORMAL
REQ00307,AMB0033,9,2.5,AMB0033,8,2.5,0.45,NORMAL
REQ00308,AMB0059,2,0.44,AMB0059,2,0.4,0.204,MODERATE
REQ00309,AMB0090,6,1.43,AMB0088,5,1.4,0.147,NORMAL
REQ00310,AMB0072,4,1.36,AMB0072,4,1.4,0.294,NORMAL
REQ00311,AMB0131,9,3.4,AMB0131,9,3.4,0.373,NORMAL
REQ00312,AMB0103,6,1.72,AMB0103,6,1.7,0.312,NORMAL
REQ00313,AMB0123,16,5.43,AMB0123,16,5.4,0.661,HEAVY
REQ00314,AMB0107,2,0.33,AMB0107,1,0.3,0.12,NORMAL
REQ00315,AMB0010,12,5.6,AMB0011,6,2.7,0.38,MODERATE
REQ00316,AMB0075,17,7.69,AMB0089,9,3.8,0.328,HEAVY
REQ00317,AMB0107,16,6.52,AMB0095,8,2.7,0.421,NORMAL
REQ00318,AMB0067,2,0.43,AMB0067,2,0.4,0.161,NORMAL
REQ00319,AMB0074,4,1.8,AMB0074,4,1.8,0.332,NORMAL
REQ00320,AMB0076,5,1.38,AMB0074,4,1.3,0.263,NORMAL
REQ00321,AMB0125,4,1.9,AMB0123,4,1.6,0.247,NORMAL
REQ00322,AMB0061,6,1.79,AMB0059,5,1.5,0.425,NORMAL
REQ00323,AMB0043,6,2.25,AMB0043,6,2.3,0.423,MODERATE
REQ00324,AMB0055,2,0.53,AMB0055,2,0.5,0.197,NORMAL
REQ00325,AMB0085,10,2.69,AMB0086,10,2.9,0.33,HEAVY
REQ00326,AMB0020,6,1.97,AMB0020,6,2,0.204,NORMAL
REQ00327,AMB0008,17,6.32,AMB0020,9,3.4,0.495,NORMAL
REQ00328,AMB0022,8,3.14,AMB0021,6,2.4,0.525,NORMAL
REQ00329,AMB0005,21,10.69,AMB0014,12,6.4,0.522,NORMAL
REQ00330,AMB0131,9,3.71,AMB0131,9,3.7,0.373,MODERATE
REQ00331,AMB0021,9,2.96,AMB0021,9,3,0.389,NORMAL
REQ00332,AMB0129,10,2.59,AMB0131,9,2.4,0.368,NORMAL
REQ00333,AMB0057,5,1.4,AMB0057,5,1.4,0.346,NORMAL
REQ00334,AMB0110,2,0.96,AMB0110,2,1,0.19,HEAVY
REQ00335,AMB0123,12,4.04,AMB0120,6,2.2,0.444,MODERATE
REQ00336,AMB0029,7,2.21,AMB0027,7,2.2,0.482,MODERATE
REQ00337,AMB0060,4,1.18,AMB0062,3,1,0.334,HEAVY
REQ00338,AMB0006,2,0.79,AMB0006,2,0.8,0.181,NORMAL
REQ00339,AMB0017,6,1.52,AMB0018,5,1.4,0.333,NORMAL
REQ00340,AMB0125,8,2.98,AMB0123,8,3.1,0.353,HEAVY
REQ00341,AMB0031,6,2,AMB0031,6,2,0.351,MODERATE
REQ00342,AMB0121,10,2.58,AMB0120,9,2.4,0.277,NORMAL
REQ00343,AMB0053,2,0.9,AMB0053,2,0.9,0.263,NORMAL
REQ00344,AMB0011,5,2.08,AMB0010,4,1.6,0.256,MODERATE
REQ00345,AMB0118,15,4.99,AMB0125,15,5.5,0.471,MODERATE
REQ00346,AMB0130,8,2.03,AMB0131,7,1.7,0.182,NORMAL
REQ00347,AMB0038,2,0.28,AMB0038,1,0.3,0.126,NORMAL
REQ00348,AMB0100,3,0.7,AMB0100,2,0.7,0.155,NORMAL
