emergency_id,emergency_type,selected_hospital_id,selected_hospital_name,candidate_count,selected_distance_km,selected_eta_min,icu_available,general_available
REQ00051,Cardiac,H002,"Government Stanley Medical College Hospital",18,1.2,2,7,39
REQ00052,General Medical,H004,"Government Royapettah Hospital",30,0.7,2,13,11
REQ00053,Unconscious,H019,"Dr. Kamakshi Memorial Hospital",30,1.1,2,18,34
REQ00054,Breathing,H012,"Sundaram Medical Foundation",30,0.5,2,4,33
REQ00055,Unconscious,H008,"Fortis Malar Hospital",30,1.5,3,4,34
REQ00056,Unconscious,H016,"Apollo Speciality Hospital OMR",30,3.6,7,19,2
REQ00057,Accident,H003,"Government Kilpauk Medical College Hospital",22,0.9,2,1,9
REQ00058,Accident,H005,"Government Omandurar Medical College Hospital",22,1.8,3,19,5
REQ00059,Cardiac,H029,"Adyar Cancer Institute",18,1.5,3,2,46
REQ00060,Accident,H011,"Madras Medical Mission",22,7.3,14,5,4
REQ00061,Accident,H007,"Apollo Hospitals Greams Road",22,2.5,5,4,24
REQ00062,Cardiac,H021,"Hindu Mission Hospital",18,0.1,2,16,6
REQ00063,Accident,H011,"Madras Medical Mission",22,10.7,20,5,4
REQ00064,Breathing,H025,"Apollo Hospitals Tondiarpet",30,6.1,11,9,9
REQ00065,Trauma,H019,"Dr. Kamakshi Memorial Hospital",22,4.2,8,18,34
REQ00066,Cardiac,H019,"Dr. Kamakshi Memorial Hospital",18,1.3,3,18,34
REQ00067,Stroke,H021,"Hindu Mission Hospital",18,1.6,3,16,6
REQ00068,Unconscious,H016,"Apollo Speciality Hospital OMR",30,2.1,4,19,2
REQ00069,Cardiac,H006,"Institute of Child Health and Hospital for Children",18,1.8,3,20,12
REQ00070,Accident,H007,"Apollo Hospitals Greams Road",22,0.2,2,4,24
REQ00071,Unconscious,H027,"MGM Healthcare",30,1.3,2,5,16
REQ00072,Accident,H019,"Dr. Kamakshi Memorial Hospital",22,0.9,2,18,34
REQ00073,Accident,H011,"Madras Medical Mission",22,8.2,15,5,4
REQ00074,General Medical,H024,"Billroth Hospitals",30,0.3,2,4,32
REQ00075,Accident,H018,"Chettinad Hospital and Research Institute",22,2.6,5,4,14
REQ00076,Unconscious,H025,"Apollo Hospitals Tondiarpet",30,7.2,13,9,9
REQ00077,Cardiac,H026,"CSI Rainy Multispeciality Hospital",18,4.7,9,8,11
REQ00078,General Medical,H018,"Chettinad Hospital and Research Institute",30,2.2,4,4,14
REQ00079,Breathing,H002,"Government Stanley Medical College Hospital",30,1.4,3,7,39
REQ00080,Accident,H023,"ESIC Medical College and Hospital",22,1.5,3,5,32
REQ00081,Other,H004,"Government Royapettah Hospital",30,1.6,3,13,11
REQ00082,Trauma,H019,"Dr. Kamakshi Memorial Hospital",22,5,9,18,34
REQ00083,General Medical,H002,"Government Stanley Medical College Hospital",30,4.9,9,7,39
REQ00084,Trauma,H023,"ESIC Medical College and Hospital",22,0.9,2,5,32
REQ00085,Trauma,H001,"Rajiv Gandhi Government General Hospital",22,1.8,3,6,32
REQ00086,Accident,H001,"Rajiv Gandhi Government General Hospital",22,1,2,6,32
REQ00087,Burn,H013,"SIMS Hospital",30,0.5,2,5,3
REQ00088,Cardiac,H011,"Madras Medical Mission",18,0.2,2,5,4
REQ00089,Accident,H019,"Dr. Kamakshi Memorial Hospital",22,4.9,9,18,34
REQ00090,Trauma,H008,"Fortis Malar Hospital",22,0.2,2,4,34
REQ00091,Cardiac,H001,"Rajiv Gandhi Government General Hospital",18,1.1,2,6,32
REQ00092,General Medical,H019,"Dr. Kamakshi Memorial Hospital",30,1.5,3,18,34
REQ00093,Accident,H007,"Apollo Hospitals Greams Road",22,1.2,2,4,24
REQ00094,Breathing,H008,"Fortis Malar Hospital",30,1.5,3,4,34
REQ00095,Trauma,H011,"Madras Medical Mission",22,5.1,10,5,4
REQ00096,General Medical,H013,"SIMS Hospital",30,1.6,3,5,3
REQ00097,Accident,H018,"Chettinad Hospital and Research Institute",22,2.8,5,4,14
REQ00098,Accident,H006,"Institute of Child Health and Hospital for Children",22,0.7,2,20,12
REQ00099,Unconscious,H023,"ESIC Medical College and Hospital",30,0.6,2,5,32
REQ00100,Accident,H020,"Prashanth Super Speciality Hospital",22,1.6,3,2,14
REQ00101,Accident,H008,"Fortis Malar Hospital",22,2,4,4,34
REQ00102,Unconscious,H023,"ESIC Medical College and Hospital",30,1.8,3,5,32
REQ00103,Accident,H028,"Kauvery Hospital Alwarpet",22,1.6,3,1,34
REQ00104,Breathing,H020,"Prashanth Super Speciality Hospital",30,1.6,3,2,14
REQ00105,Other,H010,"Sri Ramachandra Medical Centre",30,8.6,16,1,10
REQ00106,Accident,H023,"ESIC Medical College and Hospital",22,1.4,3,5,32
REQ00107,Unconscious,H020,"Prashanth Super Speciality Hospital",30,1.8,3,2,14
REQ00108,Breathing,H016,"Apollo Speciality Hospital OMR",30,1,2,19,2
REQ00109,Cardiac,H029,"Adyar Cancer Institute",18,2.1,4,2,46
REQ00110,Unconscious,H019,"Dr. Kamakshi Memorial Hospital",30,1.6,3,18,34
REQ00111,Breathing,H001,"Rajiv Gandhi Government General Hospital",30,0.4,2,6,32
REQ00112,Accident,H009,"MIOT International",22,8.5,16,8,26
REQ00113,Accident,H028,"Kauvery Hospital Alwarpet",22,2.8,5,1,34
REQ00114,Cardiac,H005,"Government Omandurar Medical College Hospital",18,1.9,4,19,5
REQ00115,Accident,H027,"MGM Healthcare",22,1.8,3,5,16
REQ00116,Cardiac,H011,"Madras Medical Mission",18,6,11,5,4
REQ00117,Breathing,H019,"Dr. Kamakshi Memorial Hospital",30,1.5,3,18,34
REQ00118,Trauma,H018,"Chettinad Hospital and Research Institute",22,2.1,4,4,14
REQ00119,Cardiac,H009,"MIOT International",18,3.2,6,8,26
REQ00120,Trauma,H011,"Madras Medical Mission",22,10.6,20,5,4
REQ00121,Accident,H009,"MIOT International",22,5.6,11,8,26
REQ00122,Breathing,H011,"Madras Medical Mission",30,6.3,12,5,4
REQ00123,Unconscious,H012,"Sundaram Medical Foundation",30,1.7,3,4,33
REQ00124,Trauma,H030,"Government Hospital of Thoracic Medicine",22,2.1,4,8,23
REQ00125,Breathing,H019,"Dr. Kamakshi Memorial Hospital",30,1.4,3,18,34
REQ00126,Burn,H004,"Government Royapettah Hospital",30,1,2,13,11
REQ00127,General Medical,H006,"Institute of Child Health and Hospital for Children",30,1.4,3,20,12
REQ00128,Breathing,H025,"Apollo Hospitals Tondiarpet",30,2.9,5,9,9
REQ00129,Burn,H006,"Institute of Child Health and Hospital for Children",30,0.2,2,20,12
REQ00130,Trauma,H019,"Dr. Kamakshi Memorial Hospital",22,7.1,13,18,34
REQ00131,General Medical,H004,"Government Royapettah Hospital",30,3.3,6,13,11
REQ00132,Cardiac,H011,"Madras Medical Mission",18,2.1,4,5,4
REQ00133,Breathing,H012,"Sundaram Medical Foundation",30,2.1,4,4,33
REQ00134,Accident,H009,"MIOT International",22,0.6,2,8,26
REQ00135,Trauma,H014,"Vijaya Hospital",22,2.3,4,10,12
REQ00136,Unconscious,H023,"ESIC Medical College and Hospital",30,2.9,6,5,32
REQ00137,Accident,H030,"Government Hospital of Thoracic Medicine",22,1,2,8,23
REQ00138,General Medical,H027,"MGM Healthcare",30,1.1,2,5,16
REQ00139,General Medical,H028,"Kauvery Hospital Alwarpet",30,1.7,3,1,34
REQ00140,Trauma,H025,"Apollo Hospitals Tondiarpet",22,7,13,9,9
REQ00141,Unconscious,H013,"SIMS Hospital",30,0.3,2,5,3
REQ00142,Trauma,H014,"Vijaya Hospital",22,1.1,2,10,12
REQ00143,Trauma,H023,"ESIC Medical College and Hospital",22,0.2,2,5,32
REQ00144,Trauma,H018,"Chettinad Hospital and Research Institute",22,1.4,3,4,14
REQ00145,Accident,H021,"Hindu Mission Hospital",22,2,4,16,6
REQ00146,Burn,H017,"Gleneagles HealthCity Chennai",30,1.8,3,25,26
REQ00147,Stroke,H029,"Adyar Cancer Institute",18,1.2,2,2,46
REQ00148,Stroke,H011,"Madras Medical Mission",18,7.1,13,5,4
REQ00149,Breathing,H010,"Sri Ramachandra Medical Centre",30,1.8,3,1,10
REQ00150,Cardiac,H012,"Sundaram Medical Foundation",18,3.1,6,4,33
REQ00151,Accident,H025,"Apollo Hospitals Tondiarpet",22,2.3,4,9,9
REQ00152,Unconscious,H019,"Dr. Kamakshi Memorial Hospital",30,1.1,2,18,34
REQ00153,Cardiac,H026,"CSI Rainy Multispeciality Hospital",18,3.1,6,8,11
REQ00154,General Medical,H008,"Fortis Malar Hospital",30,1.1,2,4,34
REQ00155,General Medical,H002,"Government Stanley Medical College Hospital",30,1.2,2,7,39
REQ00156,Other,H008,"Fortis Malar Hospital",30,2.9,5,4,34
REQ00157,Accident,H001,"Rajiv Gandhi Government General Hospital",22,1.5,3,6,32
REQ00158,Unconscious,H004,"Government Royapettah Hospital",30,1.2,2,13,11
REQ00159,Cardiac,H029,"Adyar Cancer Institute",18,0.3,2,2,46
REQ00160,General Medical,H030,"Government Hospital of Thoracic Medicine",30,1.1,2,8,23
REQ00161,Breathing,H018,"Chettinad Hospital and Research Institute",30,1,2,4,14
REQ00162,Cardiac,H029,"Adyar Cancer Institute",18,2.9,6,2,46
REQ00163,Breathing,H010,"Sri Ramachandra Medical Centre",30,1.2,2,1,10
REQ00164,Trauma,H005,"Government Omandurar Medical College Hospital",22,0.5,2,19,5
REQ00165,Breathing,H025,"Apollo Hospitals Tondiarpet",30,9.9,18,9,9
REQ00166,Accident,H019,"Dr. Kamakshi Memorial Hospital",22,6.4,12,18,34
REQ00167,Breathing,H009,"MIOT International",30,2.5,5,8,26
REQ00168,Cardiac,H011,"Madras Medical Mission",18,0.6,2,5,4
REQ00169,Unconscious,H006,"Institute of Child Health and Hospital for Children",30,1.3,3,20,12
REQ00170,Unconscious,H010,"Sri Ramachandra Medical Centre",30,4.6,9,1,10
REQ00171,Unconscious,H002,"Government Stanley Medical College Hospital",30,2.5,5,7,39
REQ00172,Accident,H011,"Madras Medical Mission",22,9.1,17,5,4
REQ00173,Accident,H009,"MIOT International",22,4.5,8,8,26
REQ00174,Trauma,H014,"Vijaya Hospital",22,1,2,10,12
REQ00175,Trauma,H001,"Rajiv Gandhi Government General Hospital",22,1.8,3,6,32
REQ00176,Breathing,H014,"Vijaya Hospital",30,1.7,3,10,12
REQ00177,Accident,H025,"Apollo Hospitals Tondiarpet",22,0.4,2,9,9
REQ00178,Breathing,H025,"Apollo Hospitals Tondiarpet",30,3.9,7,9,9
REQ00179,Unconscious,H007,"Apollo Hospitals Greams Road",30,0.8,2,4,24
REQ00180,Cardiac,H021,"Hindu Mission Hospital",18,6.1,11,16,6
REQ00181,Unconscious,H013,"SIMS Hospital",30,1.2,2,5,3
REQ00182,Stroke,H019,"Dr. Kamakshi Memorial Hospital",18,6.2,12,18,34
REQ00183,Trauma,H026,"CSI Rainy Multispeciality Hospital",22,2,4,8,11
REQ00184,Unconscious,H024,"Billroth Hospitals",30,1.1,2,4,32
REQ00185,Unconscious,H004,"Government Royapettah Hospital",30,1.7,3,13,11
REQ00186,Cardiac,H005,"Government Omandurar Medical College Hospital",18,2.4,5,19,5
REQ00187,Cardiac,H029,"Adyar Cancer Institute",18,2.2,4,2,46
REQ00188,Burn,H009,"MIOT International",30,1.5,3,8,26
REQ00189,Unconscious,H030,"Government Hospital of Thoracic Medicine",30,0.5,2,8,23
REQ00190,Trauma,H025,"Apollo Hospitals Tondiarpet",22,1.5,3,9,9
REQ00191,Breathing,H018,"Chettinad Hospital and Research Institute",30,0.7,2,4,14
REQ00192,Accident,H019,"Dr. Kamakshi Memorial Hospital",22,0.2,2,18,34
REQ00193,Other,H002,"Government Stanley Medical College Hospital",30,2.5,5,7,39
REQ00194,Other,H011,"Madras Medical Mission",30,8.7,16,5,4
REQ00195,Unconscious,H023,"ESIC Medical College and Hospital",30,1.5,3,5,32
REQ00196,Trauma,H025,"Apollo Hospitals Tondiarpet",22,2,4,9,9
REQ00197,Accident,H030,"Government Hospital of Thoracic Medicine",22,1.5,3,8,23
REQ00198,General Medical,H019,"Dr. Kamakshi Memorial Hospital",30,1.8,3,18,34
REQ00199,Unconscious,H013,"SIMS Hospital",30,1.1,2,5,3
REQ00200,Unconscious,H010,"Sri Ramachandra Medical Centre",30,7.7,14,1,10
REQ00201,Accident,H005,"Government Omandurar Medical College Hospital",22,0.2,2,19,5
REQ00202,Accident,H011,"Madras Medical Mission",22,2.3,4,5,4
REQ00203,Accident,H011,"Madras Medical Mission",22,1.5,3,5,4
REQ00204,Trauma,H014,"Vijaya Hospital",22,1.1,2,10,12
REQ00205,Accident,H029,"Adyar Cancer Institute",22,2.4,4,2,46
REQ00206,General Medical,H021,"Hindu Mission Hospital",30,1.1,2,16,6
REQ00207,Breathing,H010,"Sri Ramachandra Medical Centre",30,6.8,13,1,10
REQ00208,Accident,H006,"Institute of Child Health and Hospital for Children",22,2.1,4,20,12
REQ00209,Trauma,H019,"Dr. Kamakshi Memorial Hospital",22,2.5,5,18,34
REQ00210,Accident,H025,"Apollo Hospitals Tondiarpet",22,6.1,11,9,9
REQ00211,Cardiac,H029,"Adyar Cancer Institute",18,1.5,3,2,46
REQ00212,General Medical,H030,"Government Hospital of Thoracic Medicine",30,1.5,3,8,23
REQ00213,Breathing,H012,"Sundaram Medical Foundation",30,1.1,2,4,33
REQ00214,Trauma,H009,"MIOT International",22,2.6,5,8,26
REQ00215,Trauma,H019,"Dr. Kamakshi Memorial Hospital",22,1.8,3,18,34
REQ00216,Cardiac,H026,"CSI Rainy Multispeciality Hospital",18,0.8,2,8,11
REQ00217,General Medical,H027,"MGM Healthcare",30,0.9,2,5,16
REQ00218,Unconscious,H019,"Dr. Kamakshi Memorial Hospital",30,1.5,3,18,34
REQ00219,Burn,H025,"Apollo Hospitals Tondiarpet",30,8.4,16,9,9
REQ00220,Burn,H011,"Madras Medical Mission",30,2.2,4,5,4
REQ00221,Breathing,H025,"Apollo Hospitals Tondiarpet",30,1.8,3,9,9
REQ00222,Cardiac,H009,"MIOT International",18,0.8,2,8,26
REQ00223,Accident,H025,"Apollo Hospitals Tondiarpet",22,1.7,3,9,9
REQ00224,Breathing,H004,"Government Royapettah Hospital",30,1.1,2,13,11
REQ00225,General Medical,H012,"Sundaram Medical Foundation",30,1.1,2,4,33
REQ00226,Unconscious,H007,"Apollo Hospitals Greams Road",30,0.3,2,4,24
REQ00227,General Medical,H001,"Rajiv Gandhi Government General Hospital",30,1.3,2,6,32
REQ00228,General Medical,H030,"Government Hospital of Thoracic Medicine",30,4.5,8,8,23
REQ00229,Accident,H026,"CSI Rainy Multispeciality Hospital",22,1.2,2,8,11
REQ00230,Stroke,H001,"Rajiv Gandhi Government General Hospital",18,1.1,2,6,32
REQ00231,Stroke,H005,"Government Omandurar Medical College Hospital",18,1.4,3,19,5
REQ00232,General Medical,H011,"Madras Medical Mission",30,2.6,5,5,4
REQ00233,Stroke,H024,"Billroth Hospitals",18,0.9,2,4,32
REQ00234,Accident,H011,"Madras Medical Mission",22,1.9,4,5,4
REQ00235,General Medical,H020,"Prashanth Super Speciality Hospital",30,1.8,3,2,14
REQ00236,Trauma,H026,"CSI Rainy Multispeciality Hospital",22,1.7,3,8,11
REQ00237,Other,H003,"Government Kilpauk Medical College Hospital",30,1.2,2,1,9
REQ00238,Stroke,H012,"Sundaram Medical Foundation",18,0.3,2,4,33
REQ00239,Trauma,H009,"MIOT International",22,4.5,9,8,26
REQ00240,Accident,H026,"CSI Rainy Multispeciality Hospital",22,1.9,4,8,11
REQ00241,Breathing,H021,"Hindu Mission Hospital",30,2,4,16,6
REQ00242,Burn,H011,"Madras Medical Mission",30,2.4,4,5,4
REQ00243,Unconscious,H004,"Government Royapettah Hospital",30,1.3,2,13,11
REQ00244,Burn,H016,"Apollo Speciality Hospital OMR",30,2,4,19,2
REQ00245,Unconscious,H016,"Apollo Speciality Hospital OMR",30,0.2,2,19,2
REQ00246,Breathing,H012,"Sundaram Medical Foundation",30,8.7,16,4,33
REQ00247,Accident,H025,"Apollo Hospitals Tondiarpet",22,1.2,2,9,9
REQ00248,Unconscious,H019,"Dr. Kamakshi Memorial Hospital",30,2.3,4,18,34
REQ00249,Cardiac,H015,"Kauvery Hospital",18,1.8,3,19,7
REQ00250,General Medical,H011,"Madras Medical Mission",30,0.5,2,5,4
REQ00251,Burn,H012,"Sundaram Medical Foundation",30,0.7,2,4,33
REQ00252,Stroke,H012,"Sundaram Medical Foundation",18,9.6,18,4,33
REQ00253,Accident,H022,"Government Hospital Tambaram",22,1.7,3,6,22
REQ00254,Accident,H019,"Dr. Kamakshi Memorial Hospital",22,5.4,10,18,34
REQ00255,Unconscious,H028,"Kauvery Hospital Alwarpet",30,0.9,2,1,34
REQ00256,Cardiac,H011,"Madras Medical Mission",18,4.8,9,5,4
REQ00257,Other,H017,"Gleneagles HealthCity Chennai",30,2.2,4,25,26
REQ00258,General Medical,H007,"Apollo Hospitals Greams Road",30,0.4,2,4,24
REQ00259,Cardiac,H007,"Apollo Hospitals Greams Road",18,2.3,4,4,24
REQ00260,Cardiac,H021,"Hindu Mission Hospital",18,0.8,2,16,6
REQ00261,Unconscious,H020,"Prashanth Super Speciality Hospital",30,1.4,3,2,14
REQ00262,Trauma,H027,"MGM Healthcare",22,5.4,10,5,16
REQ00263,Stroke,H026,"CSI Rainy Multispeciality Hospital",18,7.8,15,8,11
REQ00264,Cardiac,H016,"Apollo Speciality Hospital OMR",18,1.2,2,19,2
REQ00265,Stroke,H019,"Dr. Kamakshi Memorial Hospital",18,2.2,4,18,34
REQ00266,Accident,H003,"Government Kilpauk Medical College Hospital",22,0.5,2,1,9
REQ00267,Breathing,H018,"Chettinad Hospital and Research Institute",30,1.7,3,4,14
REQ00268,Unconscious,H008,"Fortis Malar Hospital",30,1.8,3,4,34
REQ00269,Breathing,H017,"Gleneagles HealthCity Chennai",30,3.7,7,25,26
REQ00270,Trauma,H019,"Dr. Kamakshi Memorial Hospital",22,6.9,13,18,34
REQ00271,Accident,H030,"Government Hospital of Thoracic Medicine",22,0.9,2,8,23
REQ00272,Breathing,H013,"SIMS Hospital",30,0.9,2,5,3
REQ00273,Other,H025,"Apollo Hospitals Tondiarpet",30,1.6,3,9,9
REQ00274,Unconscious,H025,"Apollo Hospitals Tondiarpet",30,3.5,7,9,9
REQ00275,Cardiac,H026,"CSI Rainy Multispeciality Hospital",18,2.4,4,8,11
REQ00276,Accident,H005,"Government Omandurar Medical College Hospital",22,1.3,2,19,5
REQ00277,Breathing,H020,"Prashanth Super Speciality Hospital",30,2,4,2,14
REQ00278,Trauma,H027,"MGM Healthcare",22,1.7,3,5,16
REQ00279,Stroke,H011,"Madras Medical Mission",18,1.5,3,5,4
REQ00280,Accident,H025,"Apollo Hospitals Tondiarpet",22,12.2,23,9,9
REQ00281,Trauma,H018,"Chettinad Hospital and Research Institute",22,2.1,4,4,14
REQ00282,Breathing,H006,"Institute of Child Health and Hospital for Children",30,0.6,2,20,12
REQ00283,Stroke,H009,"MIOT International",18,4.6,9,8,26
REQ00284,Burn,H011,"Madras Medical Mission",30,2.3,4,5,4
REQ00285,Unconscious,H028,"Kauvery Hospital Alwarpet",30,0.8,2,1,34
REQ00286,Cardiac,H009,"MIOT International",18,4.3,8,8,26
REQ00287,Stroke,H005,"Government Omandurar Medical College Hospital",18,2.1,4,19,5
REQ00288,Cardiac,H011,"Madras Medical Mission",18,1.8,3,5,4
REQ00289,Unconscious,H005,"Government Omandurar Medical College Hospital",30,1.3,2,19,5
REQ00290,General Medical,H025,"Apollo Hospitals Tondiarpet",30,5.6,11,9,9
REQ00291,General Medical,H012,"Sundaram Medical Foundation",30,4.7,9,4,33
REQ00292,Breathing,H002,"Government Stanley Medical College Hospital",30,2.8,5,7,39
REQ00293,Stroke,H012,"Sundaram Medical Foundation",18,0.5,2,4,33
REQ00294,Stroke,H013,"SIMS Hospital",18,0.8,2,5,3
REQ00295,Stroke,H011,"Madras Medical Mission",18,2.2,4,5,4
REQ00296,Accident,H019,"Dr. Kamakshi Memorial Hospital",22,3,6,18,34
REQ00297,Stroke,H019,"Dr. Kamakshi Memorial Hospital",18,18.4,34,18,34
REQ00298,General Medical,H021,"Hindu Mission Hospital",30,2.7,5,16,6
REQ00299,Stroke,H019,"Dr. Kamakshi Memorial Hospital",18,17.2,32,18,34
REQ00300,Breathing,H016,"Apollo Speciality Hospital OMR",30,1.6,3,19,2
REQ00301,Burn,H004,"Government Royapettah Hospital",30,0.3,2,13,11
REQ00302,Cardiac,H023,"ESIC Medical College and Hospital",18,0.8,2,5,32
REQ00303,Cardiac,H007,"Apollo Hospitals Greams Road",18,4.2,8,4,24
REQ00304,Unconscious,H021,"Hindu Mission Hospital",30,2.8,5,16,6
REQ00305,Burn,H013,"SIMS Hospital",30,0.1,2,5,3
REQ00306,Accident,H021,"Hindu Mission Hospital",22,1.6,3,16,6
REQ00307,Breathing,H006,"Institute of Child Health and Hospital for Children",30,2.4,5,20,12
REQ00308,Accident,H007,"Apollo Hospitals Greams Road",22,0.4,2,4,24
REQ00309,General Medical,H009,"MIOT International",30,1.3,2,8,26
REQ00310,Breathing,H013,"SIMS Hospital",30,2.3,4,5,3
REQ00311,General Medical,H018,"Chettinad Hospital and Research Institute",30,1.7,3,4,14
REQ00312,Burn,H019,"Dr. Kamakshi Memorial Hospital",30,1.4,3,18,34
REQ00313,Accident,H030,"Government Hospital of Thoracic Medicine",22,2.6,5,8,23
REQ00314,Trauma,H020,"Prashanth Super Speciality Hospital",22,3.1,6,2,14
REQ00315,Trauma,H025,"Apollo Hospitals Tondiarpet",22,7.7,14,9,9
REQ00316,Stroke,H023,"ESIC Medical College and Hospital",18,0.6,2,5,32
REQ00317,Trauma,H020,"Prashanth Super Speciality Hospital",22,2.8,5,2,14
REQ00318,Trauma,H028,"Kauvery Hospital Alwarpet",22,1.2,2,1,34
REQ00319,Breathing,H023,"ESIC Medical College and Hospital",30,1.2,2,5,32
REQ00320,Breathing,H023,"ESIC Medical College and Hospital",30,0.7,2,5,32
REQ00321,Other,H030,"Government Hospital of Thoracic Medicine",30,0.9,2,8,23
REQ00322,General Medical,H004,"Government Royapettah Hospital",30,1.3,2,13,11
REQ00323,General Medical,H011,"Madras Medical Mission",30,3.3,6,5,4
REQ00324,General Medical,H013,"SIMS Hospital",30,0.1,2,5,3
REQ00325,Unconscious,H023,"ESIC Medical College and Hospital",30,2.5,5,5,32
REQ00326,Stroke,H002,"Government Stanley Medical College Hospital",18,6,11,7,39
REQ00327,Accident,H011,"Madras Medical Mission",22,6.6,12,5,4
REQ00328,Accident,H003,"Government Kilpauk Medical College Hospital",22,2.4,4,1,9
REQ00329,Unconscious,H025,"Apollo Hospitals Tondiarpet",30,5.2,10,9,9
REQ00330,General Medical,H018,"Chettinad Hospital and Research Institute",30,1.7,3,4,14
REQ00331,Breathing,H024,"Billroth Hospitals",30,2.8,5,4,32
REQ00332,Breathing,H018,"Chettinad Hospital and Research Institute",30,3.3,6,4,14
REQ00333,Accident,H027,"MGM Healthcare",22,1.7,3,5,16
REQ00334,Accident,H019,"Dr. Kamakshi Memorial Hospital",22,6,11,18,34
REQ00335,Trauma,H030,"Government Hospital of Thoracic Medicine",22,1.7,3,8,23
REQ00336,Stroke,H001,"Rajiv Gandhi Government General Hospital",18,1.7,3,6,32
REQ00337,Breathing,H007,"Apollo Hospitals Greams Road",30,0.7,2,4,24
REQ00338,Breathing,H025,"Apollo Hospitals Tondiarpet",30,5.3,10,9,9
