assignment_id,request_id,ambulance_id,attempt_number,assigned_at,response_time_sec,response,status
ASG00099,REQ00073,AMB0098,1,2026-08-16 08:35:19,18,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00100,REQ00074,AMB0100,1,2026-08-31 11:35:59,18,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00101,REQ00075,AMB0010,1,2026-08-23 04:18:02,22,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00102,REQ00076,AMB0031,1,2026-09-04 08:59:35,5,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00103,REQ00077,AMB0050,1,2026-08-15 20:14:03,18,REJECTED,FALLBACK_TRIGGERED
ASG00104,REQ00077,AMB0111,2,2026-08-15 20:14:23,13,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00105,REQ00078,AMB0045,1,2026-08-11 13:41:59,5,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00106,REQ00080,AMB0100,1,2026-08-03 12:50:31,22,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00107,REQ00082,AMB0041,1,2026-08-08 10:10:46,12,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00108,REQ00083,AMB0121,1,2026-08-12 19:54:40,7,TIMEOUT,FALLBACK_TRIGGERED
ASG00109,REQ00083,AMB0093,2,2026-08-12 19:54:49,25,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00110,REQ00084,AMB0051,1,2026-08-21 07:00:16,9,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00111,REQ00086,AMB0126,1,2026-08-19 11:39:14,18,REJECTED,FALLBACK_TRIGGERED
ASG00112,REQ00086,AMB0031,2,2026-08-19 11:39:34,7,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00113,REQ00087,AMB0079,1,2026-08-31 17:51:42,25,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00114,REQ00088,AMB0120,1,2026-08-24 02:58:36,25,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00115,REQ00089,AMB0047,1,2026-09-03 14:07:43,27,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00116,REQ00090,AMB0106,1,2026-08-30 18:03:35,4,TIMEOUT,FALLBACK_TRIGGERED
ASG00117,REQ00090,AMB0131,2,2026-08-30 18:03:41,14,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00118,REQ00091,AMB0108,1,2026-08-03 13:22:44,28,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00119,REQ00092,AMB0088,1,2026-08-09 20:46:41,25,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00120,REQ00093,AMB0052,1,2026-09-04 04:41:55,15,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00121,REQ00094,AMB0123,1,2026-08-20 14:43:46,30,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00122,REQ00095,AMB0076,1,2026-08-08 01:51:42,30,REJECTED,FALLBACK_TRIGGERED
ASG00123,REQ00095,AMB0050,2,2026-08-08 01:52:14,17,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00124,REQ00096,AMB0128,1,2026-08-29 19:43:45,5,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00125,REQ00097,AMB0052,1,2026-08-04 04:32:18,8,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00126,REQ00098,AMB0127,1,2026-09-03 07:26:19,25,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00127,REQ00099,AMB0090,1,2026-09-01 01:22:41,23,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00128,REQ00100,AMB0068,1,2026-09-04 15:15:54,27,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00129,REQ00102,AMB0114,1,2026-08-13 01:17:24,24,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00130,REQ00103,AMB0099,1,2026-08-22 09:58:00,23,TIMEOUT,FALLBACK_TRIGGERED
ASG00131,REQ00103,AMB0068,2,2026-08-22 09:58:25,18,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00132,REQ00104,AMB0090,1,2026-08-14 12:58:15,15,REJECTED,FALLBACK_TRIGGERED
ASG00133,REQ00104,AMB0071,2,2026-08-14 12:58:32,18,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00134,REQ00106,AMB0082,1,2026-08-15 23:09:01,24,REJECTED,FALLBACK_TRIGGERED
ASG00135,REQ00106,AMB0034,2,2026-08-15 23:09:27,12,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00136,REQ00107,AMB0094,1,2026-09-06 07:31:35,11,TIMEOUT,FALLBACK_TRIGGERED
ASG00137,REQ00109,AMB0002,1,2026-08-05 21:03:48,21,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00138,REQ00110,AMB0102,1,2026-08-24 01:39:40,14,REJECTED,FALLBACK_TRIGGERED
ASG00139,REQ00110,AMB0067,2,2026-08-24 01:39:56,14,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00140,REQ00111,AMB0061,1,2026-08-02 16:46:17,18,TIMEOUT,FALLBACK_TRIGGERED
ASG00141,REQ00111,AMB0072,2,2026-08-02 16:46:37,21,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00142,REQ00112,AMB0009,1,2026-08-07 03:33:09,28,TIMEOUT,FALLBACK_TRIGGERED
ASG00143,REQ00112,AMB0002,2,2026-08-07 03:33:39,15,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00144,REQ00113,AMB0056,1,2026-08-30 18:15:44,10,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00145,REQ00114,AMB0096,1,2026-09-05 15:03:40,16,REJECTED,FALLBACK_TRIGGERED
ASG00146,REQ00114,AMB0048,2,2026-09-05 15:03:58,27,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00147,REQ00115,AMB0064,1,2026-08-07 16:58:02,17,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00148,REQ00117,AMB0078,1,2026-08-26 02:19:10,27,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00149,REQ00118,AMB0071,1,2026-08-09 22:46:05,29,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00150,REQ00119,AMB0122,1,2026-09-08 12:49:20,11,TIMEOUT,FALLBACK_TRIGGERED
ASG00151,REQ00119,AMB0054,2,2026-09-08 12:49:33,5,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00152,REQ00120,AMB0071,1,2026-08-12 21:37:42,6,TIMEOUT,FALLBACK_TRIGGERED
ASG00153,REQ00120,AMB0001,2,2026-08-12 21:37:50,27,TIMEOUT,FALLBACK_TRIGGERED
ASG00154,REQ00120,AMB0056,3,2026-08-12 21:38:19,9,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00155,REQ00121,AMB0066,1,2026-08-10 23:24:20,30,REJECTED,FALLBACK_TRIGGERED
ASG00156,REQ00121,AMB0081,2,2026-08-10 23:24:52,7,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00157,REQ00122,AMB0037,1,2026-08-28 14:35:35,17,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00158,REQ00123,AMB0059,1,2026-08-27 12:49:05,21,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00159,REQ00124,AMB0111,1,2026-08-09 08:19:17,10,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00160,REQ00125,AMB0075,1,2026-08-16 23:40:31,16,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00161,REQ00126,AMB0110,1,2026-08-22 14:21:27,12,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00162,REQ00127,AMB0101,1,2026-08-31 10:11:25,17,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00163,REQ00128,AMB0064,1,2026-08-26 11:07:59,10,REJECTED,FALLBACK_TRIGGERED
ASG00164,REQ00128,AMB0125,2,2026-08-26 11:08:11,10,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00165,REQ00129,AMB0122,1,2026-08-14 14:51:18,12,REJECTED,FALLBACK_TRIGGERED
ASG00166,REQ00129,AMB0086,2,2026-08-14 14:51:32,23,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00167,REQ00130,AMB0014,1,2026-08-17 21:09:45,26,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00168,REQ00131,AMB0073,1,2026-08-27 17:02:50,30,REJECTED,FALLBACK_TRIGGERED
ASG00169,REQ00131,AMB0014,2,2026-08-27 17:03:22,6,REJECTED,FALLBACK_TRIGGERED
ASG00170,REQ00131,AMB0046,3,2026-08-27 17:03:30,24,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00171,REQ00132,AMB0012,1,2026-08-23 05:41:39,19,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00172,REQ00133,AMB0029,1,2026-08-01 03:16:14,25,TIMEOUT,FALLBACK_TRIGGERED
ASG00173,REQ00133,AMB0030,2,2026-08-01 03:16:41,16,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00174,REQ00134,AMB0068,1,2026-09-07 22:32:09,22,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00175,REQ00135,AMB0122,1,2026-08-10 11:19:21,22,TIMEOUT,FALLBACK_TRIGGERED
ASG00176,REQ00135,AMB0052,2,2026-08-10 11:19:45,20,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00177,REQ00136,AMB0061,1,2026-08-05 09:02:51,30,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00178,REQ00137,AMB0023,1,2026-09-03 05:35:10,12,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00179,REQ00138,AMB0083,1,2026-08-26 00:47:39,18,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00180,REQ00139,AMB0096,1,2026-08-05 18:06:51,12,TIMEOUT,FALLBACK_TRIGGERED
ASG00181,REQ00139,AMB0054,2,2026-08-05 18:07:05,14,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00182,REQ00140,AMB0089,1,2026-08-21 19:24:39,25,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00183,REQ00141,AMB0047,1,2026-08-20 19:37:05,17,REJECTED,FALLBACK_TRIGGERED
ASG00184,REQ00141,AMB0048,2,2026-08-20 19:37:24,28,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00185,REQ00142,AMB0104,1,2026-08-27 19:08:36,20,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00186,REQ00143,AMB0111,1,2026-08-09 05:20:53,28,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00187,REQ00144,AMB0124,1,2026-09-05 16:41:31,6,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00188,REQ00145,AMB0031,1,2026-08-15 09:02:17,9,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00189,REQ00146,AMB0062,1,2026-08-08 08:49:34,27,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00190,REQ00147,AMB0025,1,2026-08-07 23:53:41,10,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00191,REQ00148,AMB0033,1,2026-08-08 07:13:51,10,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00192,REQ00149,AMB0065,1,2026-08-14 06:51:03,15,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00193,REQ00150,AMB0077,1,2026-09-02 21:52:06,25,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00194,REQ00151,AMB0054,1,2026-08-09 07:09:45,11,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00195,REQ00152,AMB0129,1,2026-08-27 12:28:04,18,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00196,REQ00153,AMB0130,1,2026-08-30 15:20:37,28,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00197,REQ00154,AMB0126,1,2026-08-05 17:25:13,22,REJECTED,FALLBACK_TRIGGERED
ASG00198,REQ00154,AMB0012,2,2026-08-05 17:25:37,24,TIMEOUT,FALLBACK_TRIGGERED
ASG00199,REQ00154,AMB0094,3,2026-08-05 17:26:03,7,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00200,REQ00155,AMB0110,1,2026-09-06 15:50:21,12,REJECTED,FALLBACK_TRIGGERED
ASG00201,REQ00155,AMB0127,2,2026-09-06 15:50:35,5,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00202,REQ00157,AMB0053,1,2026-08-18 02:41:23,28,TIMEOUT,FALLBACK_TRIGGERED
ASG00203,REQ00157,AMB0113,2,2026-08-18 02:41:53,20,TIMEOUT,FALLBACK_TRIGGERED
ASG00204,REQ00157,AMB0051,3,2026-08-18 02:42:15,29,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00205,REQ00158,AMB0066,1,2026-08-15 13:41:05,20,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00206,REQ00159,AMB0090,1,2026-08-01 22:21:52,18,REJECTED,FALLBACK_TRIGGERED
ASG00207,REQ00159,AMB0111,2,2026-08-01 22:22:12,14,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00208,REQ00160,AMB0002,1,2026-08-07 03:20:23,13,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00209,REQ00161,AMB0034,1,2026-08-05 16:36:00,19,REJECTED,FALLBACK_TRIGGERED
ASG00210,REQ00161,AMB0015,2,2026-08-05 16:36:21,23,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00211,REQ00162,AMB0031,1,2026-08-29 06:05:57,18,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00212,REQ00163,AMB0130,1,2026-08-18 20:05:15,11,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00213,REQ00164,AMB0100,1,2026-08-20 06:33:38,29,TIMEOUT,FALLBACK_TRIGGERED
ASG00214,REQ00164,AMB0063,2,2026-08-20 06:34:09,27,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00215,REQ00166,AMB0110,1,2026-08-27 11:34:43,19,TIMEOUT,FALLBACK_TRIGGERED
ASG00216,REQ00166,AMB0129,2,2026-08-27 11:35:04,30,TIMEOUT,FALLBACK_TRIGGERED
ASG00217,REQ00166,AMB0067,3,2026-08-27 11:35:36,12,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00218,REQ00167,AMB0081,1,2026-08-04 12:32:18,27,REJECTED,FALLBACK_TRIGGERED
ASG00219,REQ00167,AMB0007,2,2026-08-04 12:32:47,10,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00220,REQ00168,AMB0009,1,2026-08-10 08:05:19,18,TIMEOUT,FALLBACK_TRIGGERED
ASG00221,REQ00168,AMB0112,2,2026-08-10 08:05:39,4,TIMEOUT,FALLBACK_TRIGGERED
ASG00222,REQ00168,AMB0040,3,2026-08-10 08:05:45,17,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00223,REQ00169,AMB0014,1,2026-08-05 09:44:27,7,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00224,REQ00170,AMB0041,1,2026-08-04 09:42:47,10,REJECTED,FALLBACK_TRIGGERED
ASG00225,REQ00170,AMB0034,2,2026-08-04 09:42:59,23,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00226,REQ00171,AMB0103,1,2026-09-03 16:50:52,16,REJECTED,FALLBACK_TRIGGERED
ASG00227,REQ00171,AMB0057,2,2026-09-03 16:51:10,4,REJECTED,FALLBACK_TRIGGERED
ASG00228,REQ00171,AMB0063,3,2026-09-03 16:51:16,15,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00229,REQ00172,AMB0103,1,2026-08-02 10:51:27,15,TIMEOUT,FALLBACK_TRIGGERED
ASG00230,REQ00172,AMB0001,2,2026-08-02 10:51:44,11,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00231,REQ00173,AMB0031,1,2026-08-04 15:54:36,29,TIMEOUT,FALLBACK_TRIGGERED
ASG00232,REQ00175,AMB0016,1,2026-08-27 07:20:15,29,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00233,REQ00176,AMB0119,1,2026-08-04 05:14:51,10,REJECTED,FALLBACK_TRIGGERED
