segment_id,start_node_id,end_node_id,distance_km,speed_limit_kmph,road_type,one_way
SEG0114,A004,A005,3.21,45,collector,False
SEG0115,A004,A008,3.37,35,collector,False
SEG0116,A004,H025,6.66,62,arterial,False
SEG0117,A005,A008,5.52,37,collector,False
SEG0118,A003,A005,5.98,49,collector,False
SEG0119,A005,A015,7.17,59,arterial,False
SEG0120,A006,A007,1.63,32,local,False
SEG0121,A008,H012,4.47,42,collector,False
SEG0122,A008,H024,4.47,43,collector,False
SEG0123,A008,A013,4.48,43,collector,False
SEG0124,A009,H026,2.0,47,collector,False
SEG0125,A009,A010,2.36,41,collector,False
SEG0126,A009,H001,2.4,47,collector,False
SEG0127,A010,A011,1.95,30,local,True
SEG0128,A012,A019,1.96,28,local,True
SEG0129,A011,A012,2.01,47,collector,False
SEG0130,A013,A017,2.39,40,collector,False
SEG0131,A014,A017,2.67,42,collector,False
SEG0132,A013,A014,3.79,42,collector,False
SEG0133,A014,H012,3.8,47,collector,False
SEG0134,A014,A015,4.05,40,collector,False
SEG0135,A015,H011,4.7,40,collector,False
SEG0136,A015,A016,6.32,61,arterial,False
SEG0137,A015,A017,6.61,57,arterial,False
SEG0138,A016,A026,6.61,52,arterial,True
SEG0139,A014,A016,8.83,67,arterial,True
SEG0140,A016,H010,8.92,60,arterial,False
SEG0141,A017,H013,2.6,48,collector,False
SEG0142,A018,A024,1.77,31,local,False
SEG0143,A019,H007,1.96,29,local,False
SEG0144,A019,A023,2.24,36,collector,False
SEG0145,A020,A023,1.78,31,local,False
SEG0146,A021,H007,1.91,29,local,False
SEG0147,A020,A021,2.02,38,collector,False
SEG0148,A021,H005,2.07,37,collector,False
SEG0149,A020,A022,2.26,40,collector,False
SEG0150,A021,A022,2.35,45,collector,True
SEG0151,A022,H004,2.39,42,collector,False
SEG0152,A023,H014,2.59,47,collector,False
SEG0153,A025,A028,2.74,46,collector,False
SEG0154,A024,A025,4.9,48,collector,False
SEG0155,A025,A026,7.08,52,arterial,False
SEG0156,A026,H009,9.58,70,arterial,True
SEG0157,A027,A031,2.82,44,collector,False
SEG0158,A027,H029,3.27,42,collector,False
SEG0159,A027,H008,3.89,46,collector,False
SEG0160,A024,A028,3.33,48,collector,False
SEG0161,A028,H023,3.34,47,collector,True
SEG0162,A029,A030,2.41,42,collector,False
SEG0163,A029,H028,3.02,45,collector,False
SEG0164,A031,A032,3.66,35,collector,False
SEG0165,A032,H020,3.57,45,collector,False
SEG0166,A032,A035,4.01,50,collector,False
SEG0167,A033,A039,1.94,33,local,True
SEG0168,A030,A033,3.16,35,collector,True
SEG0169,A034,A035,4.33,44,collector,False
SEG0170,A032,A034,5.73,49,collector,False
SEG0171,A034,H019,5.75,37,collector,False
SEG0172,A035,H019,4.06,36,collector,False
SEG0173,A036,H030,3.69,37,collector,False
SEG0174,A036,A038,5.82,38,collector,False
SEG0175,A037,A038,1.8,31,local,False
SEG0176,A037,H022,5.36,46,collector,True
SEG0177,A037,H021,6.16,61,arterial,False
SEG0178,A030,A039,3.95,38,collector,False
SEG0179,A039,H019,5.35,42,collector,False
SEG0180,A034,A040,12.71,68,arterial,False
SEG0181,A040,H017,13.2,64,arterial,False
SEG0182,A035,A040,14.88,63,arterial,False
