ambulance_id,base_id,base_name,area,sector,vehicle_type,capacity,status,current_latitude,current_longitude,driver_id,last_serviced
AMB0073,A023,Ambulance Base - T. Nagar,T. Nagar,Central-South,BLS,1,BUSY,13.044873,80.233351,DRV0073,2026-06-20
AMB0074,A024,Ambulance Base - Ashok Nagar/KK Nagar,K.K. Nagar,West-South,ALS,2,EN_ROUTE,13.036394,80.2013,DRV0074,2026-05-28
AMB0075,A024,Ambulance Base - Ashok Nagar/KK Nagar,K.K. Nagar,West-South,ALS,2,EN_ROUTE,13.034698,80.205893,DRV0075,2026-07-27
AMB0076,A024,Ambulance Base - Ashok Nagar/KK Nagar,K.K. Nagar,West-South,BLS,1,BUSY,13.041413,80.206486,DRV0076,2026-08-04
AMB0077,A025,Ambulance Base - Porur,Porur,West,ALS,2,BUSY,13.032765,80.161777,DRV0077,2026-05-21
AMB0078,A025,Ambulance Base - Porur,Porur,West,BLS,1,AVAILABLE,13.038433,80.158482,DRV0078,2026-07-30
AMB0079,A025,Ambulance Base - Porur,Porur,West,ALS,2,AVAILABLE,13.03718,80.157988,DRV0079,2026-08-03
AMB0080,A025,Ambulance Base - Porur,Porur,West,ALS,2,OFFLINE,13.034133,80.159932,DRV0080,2026-07-18
AMB0081,A026,Ambulance Base - Poonamallee,Poonamallee,West,BLS,1,AVAILABLE,13.043521,80.097516,DRV0081,2026-08-05
AMB0082,A026,Ambulance Base - Poonamallee,Poonamallee,West,ALS,2,AVAILABLE,13.051168,80.090806,DRV0082,2026-06-23
AMB0083,A026,Ambulance Base - Poonamallee,Poonamallee,West,BLS,1,AVAILABLE,13.049591,80.093991,DRV0083,2026-07-04
AMB0084,A027,Ambulance Base - Guindy,Guindy,South-Central,ALS,2,AVAILABLE,13.007313,80.218638,DRV0084,2026-06-09
AMB0085,A027,Ambulance Base - Guindy,Guindy,South-Central,BLS,1,AVAILABLE,13.010105,80.220908,DRV0085,2026-06-07
AMB0086,A027,Ambulance Base - Guindy,Guindy,South-Central,ALS,2,AVAILABLE,13.00326,80.221914,DRV0086,2026-07-27
AMB0087,A027,Ambulance Base - Guindy,Guindy,South-Central,BLS,1,AVAILABLE,13.009484,80.222358,DRV0087,2026-07-31
AMB0088,A028,Ambulance Base - Manapakkam,Manapakkam,West-South,BLS,1,AVAILABLE,13.020267,80.178219,DRV0088,2026-08-01
AMB0089,A028,Ambulance Base - Manapakkam,Manapakkam,West-South,BLS,1,AVAILABLE,13.020364,80.182523,DRV0089,2026-06-13
AMB0090,A028,Ambulance Base - Manapakkam,Manapakkam,West-South,ALS,2,AVAILABLE,13.019408,80.179383,DRV0090,2026-09-07
AMB0091,A029,Ambulance Base - Adyar,Adyar,South-Central,BLS,1,AVAILABLE,13.005939,80.25744,DRV0091,2026-06-16
AMB0092,A029,Ambulance Base - Adyar,Adyar,South-Central,BLS,1,AVAILABLE,13.006037,80.25451,DRV0092,2026-07-09
AMB0093,A029,Ambulance Base - Adyar,Adyar,South-Central,ALS,2,AVAILABLE,13.00477,80.258111,DRV0093,2026-06-20
AMB0094,A029,Ambulance Base - Adyar,Adyar,South-Central,BLS,1,AVAILABLE,13.010116,80.254679,DRV0094,2026-07-30
AMB0095,A030,Ambulance Base - Thiruvanmiyur,Thiruvanmiyur,South-East,ALS,2,BUSY,12.982179,80.25577,DRV0095,2026-07-09
AMB0096,A030,Ambulance Base - Thiruvanmiyur,Thiruvanmiyur,South-East,BLS,1,BUSY,12.981583,80.258716,DRV0096,2026-06-19
AMB0097,A030,Ambulance Base - Thiruvanmiyur,Thiruvanmiyur,South-East,BLS,1,AVAILABLE,12.986571,80.259355,DRV0097,2026-08-07
AMB0098,A031,Ambulance Base - Velachery,Velachery,South,ALS,2,AVAILABLE,12.977544,80.220008,DRV0098,2026-06-01
AMB0099,A031,Ambulance Base - Velachery,Velachery,South,ALS,2,BUSY,12.979251,80.220433,DRV0099,2026-06-10
AMB0100,A031,Ambulance Base - Velachery,Velachery,South,BLS,1,AVAILABLE,12.981959,80.22134,DRV0100,2026-08-23
AMB0101,A031,Ambulance Base - Velachery,Velachery,South,BLS,1,AVAILABLE,12.981217,80.218249,DRV0101,2026-06-28
AMB0102,A032,Ambulance Base - Pallikaranai,Pallikaranai,South,BLS,1,AVAILABLE,12.951542,80.209541,DRV0102,2026-05-26
AMB0103,A032,Ambulance Base - Pallikaranai,Pallikaranai,South,BLS,1,AVAILABLE,12.952755,80.209567,DRV0103,2026-08-18
AMB0104,A032,Ambulance Base - Pallikaranai,Pallikaranai,South,BLS,1,AVAILABLE,12.951514,80.212719,DRV0104,2026-08-03
AMB0105,A033,Ambulance Base - Perungudi,Perungudi,South-OMR,BLS,1,AVAILABLE,12.957914,80.245019,DRV0105,2026-06-08
AMB0106,A033,Ambulance Base - Perungudi,Perungudi,South-OMR,BLS,1,AVAILABLE,12.958687,80.248644,DRV0106,2026-08-28
AMB0107,A033,Ambulance Base - Perungudi,Perungudi,South-OMR,ALS,2,AVAILABLE,12.959064,80.242722,DRV0107,2026-08-11
AMB0108,A033,Ambulance Base - Perungudi,Perungudi,South-OMR,ALS,2,AVAILABLE,12.958647,80.245227,DRV0108,2026-08-31
AMB0109,A034,Ambulance Base - Sholinganallur,Sholinganallur,South-OMR,ALS,2,BUSY,12.900116,80.230058,DRV0109,2026-06-10
AMB0110,A034,Ambulance Base - Sholinganallur,Sholinganallur,South-OMR,ALS,2,EN_ROUTE,12.903125,80.226943,DRV0110,2026-09-07
AMB0111,A034,Ambulance Base - Sholinganallur,Sholinganallur,South-OMR,BLS,1,AVAILABLE,12.90012,80.231033,DRV0111,2026-05-24
AMB0112,A034,Ambulance Base - Sholinganallur,Sholinganallur,South-OMR,BLS,1,AVAILABLE,12.902877,80.230299,DRV0112,2026-05-16
AMB0113,A035,Ambulance Base - Medavakkam,Medavakkam,South,ALS,2,AVAILABLE,12.916183,80.191885,DRV0113,2026-07-20
AMB0114,A035,Ambulance Base - Medavakkam,Medavakkam,South,BLS,1,AVAILABLE,12.920385,80.193793,DRV0114,2026-05-23
AMB0115,A035,Ambulance Base - Medavakkam,Medavakkam,South,BLS,1,EN_ROUTE,12.921846,80.192273,DRV0115,2026-05-14
AMB0116,A036,Ambulance Base - Tambaram,Tambaram,South-West,BLS,1,AVAILABLE,12.926204,80.096672,DRV0116,2026-07-15
AMB0117,A036,Ambulance Base - Tambaram,Tambaram,South-West,ALS,2,EN_ROUTE,12.922354,80.098081,DRV0117,2026-07-28
AMB0118,A036,Ambulance Base - Tambaram,Tambaram,South-West,ALS,2,AVAILABLE,12.9236,80.103037,DRV0118,2026-08-03
AMB0119,A036,Ambulance Base - Tambaram,Tambaram,South-West,BLS,1,AVAILABLE,12.921555,80.096155,DRV0119,2026-06-30
AMB0120,A037,Ambulance Base - Pallavaram,Pallavaram,South-West,ALS,2,OFFLINE,12.9663,80.150301,DRV0120,2026-05-31
AMB0121,A037,Ambulance Base - Pallavaram,Pallavaram,South-West,ALS,2,BUSY,12.971097,80.146695,DRV0121,2026-09-05
AMB0122,A037,Ambulance Base - Pallavaram,Pallavaram,South-West,BLS,1,AVAILABLE,12.96451,80.150456,DRV0122,2026-06-27
AMB0123,A038,Ambulance Base - Chromepet,Chromepet,South-West,ALS,2,AVAILABLE,12.94965,80.145151,DRV0123,2026-06-22
AMB0124,A038,Ambulance Base - Chromepet,Chromepet,South-West,BLS,1,OFFLINE,12.953347,80.148422,DRV0124,2026-08-18
AMB0125,A038,Ambulance Base - Chromepet,Chromepet,South-West,BLS,1,AVAILABLE,12.947805,80.144696,DRV0125,2026-06-13
AMB0126,A039,Ambulance Base - ECR Neelankarai,Neelankarai,South-East,BLS,1,AVAILABLE,12.95122,80.256408,DRV0126,2026-06-11
AMB0127,A039,Ambulance Base - ECR Neelankarai,Neelankarai,South-East,ALS,2,AVAILABLE,12.95168,80.262602,DRV0127,2026-06-23
AMB0128,A039,Ambulance Base - ECR Neelankarai,Neelankarai,South-East,ALS,2,BUSY,12.950027,80.256129,DRV0128,2026-07-01
AMB0129,A040,Ambulance Base - Kelambakkam,Kelambakkam,Far South-OMR,BLS,1,AVAILABLE,12.783552,80.22118,DRV0129,2026-09-06
AMB0130,A040,Ambulance Base - Kelambakkam,Kelambakkam,Far South-OMR,BLS,1,BUSY,12.783844,80.223686,DRV0130,2026-06-18
AMB0131,A040,Ambulance Base - Kelambakkam,Kelambakkam,Far South-OMR,BLS,1,BUSY,12.786484,80.22187,DRV0131,2026-06-16
